playlist_name,music_name,music_id,music_explicit,music_popularity,album_name,album_id,album_image,album_release_date,artist_name,artist_id,music_duration,music_key,music_acousticness,music_danceability,music_energy,music_instrumentalness,music_liveness,music_loudness,music_mode,music_speechness,music_valence,music_tempo,artist_genres
Top 50 - Argentina,HOLA PERDIDA,7JKptWv4YXmievid0HajID,False,66,QUE NOS FALTE TODO,3X0T1blaMiY2aev0wrbK1G,https://i.scdn.co/image/ab67616d0000b273546d66125577fdca616ec73c,2024-02-02,Luck Ra,4kcQWQDK0u9AftVSpdrAgk,166537,2,0.182,0.482,0.792,0.0,0.744,-5.861,0,0.0859,0.572,154.932,"trap argentino, trap triste"
Top 50 - Argentina,QUE ME FALTE TODO,1TyBUtMxdmRfXhW3MmbxtQ,False,63,QUE NOS FALTE TODO,3X0T1blaMiY2aev0wrbK1G,https://i.scdn.co/image/ab67616d0000b273546d66125577fdca616ec73c,2024-02-02,Luck Ra,4kcQWQDK0u9AftVSpdrAgk,165919,3,0.0935,0.731,0.855,0.0,0.688,-5.115,0,0.0513,0.966,148.042,"trap argentino, trap triste"
Top 50 - Argentina,La Morocha,6vRQqxOhUFd78p5tL8jXr7,False,62,QUE NOS FALTE TODO,3X0T1blaMiY2aev0wrbK1G,https://i.scdn.co/image/ab67616d0000b273546d66125577fdca616ec73c,2024-02-02,Luck Ra,4kcQWQDK0u9AftVSpdrAgk,134144,7,0.0954,0.757,0.768,0.0,0.279,-5.752,1,0.034,0.972,149.099,"trap argentino, trap triste"
Top 50 - Argentina,Ya No Vuelvas (Versión Cuarteto),0u6JsFiEEXb6kaF0oqyeFi,False,60,QUE NOS FALTE TODO,3X0T1blaMiY2aev0wrbK1G,https://i.scdn.co/image/ab67616d0000b273546d66125577fdca616ec73c,2024-02-02,Luck Ra,4kcQWQDK0u9AftVSpdrAgk,204000,1,0.223,0.736,0.902,0.0,0.375,-4.575,1,0.0832,0.554,149.945,"trap argentino, trap triste"
Top 50 - Argentina,Y TE VAS,21RG4bCz6wb3iDCshmUGYT,False,67,QUE NOS FALTE TODO,3X0T1blaMiY2aev0wrbK1G,https://i.scdn.co/image/ab67616d0000b273546d66125577fdca616ec73c,2024-02-02,Luck Ra,4kcQWQDK0u9AftVSpdrAgk,148980,6,0.0227,0.7,0.854,0.0,0.19,-5.34,0,0.0375,0.968,146.983,"trap argentino, trap triste"
Top 50 - Argentina,Quiero Creer,4ZXZub1pPCWib6xlSHiTj6,False,57,QUE NOS FALTE TODO,3X0T1blaMiY2aev0wrbK1G,https://i.scdn.co/image/ab67616d0000b273546d66125577fdca616ec73c,2024-02-02,Luck Ra,4kcQWQDK0u9AftVSpdrAgk,145055,1,0.274,0.682,0.624,0.0,0.106,-3.714,1,0.0592,0.928,91.084,"trap argentino, trap triste"
Top 50 - Argentina,Una Foto Remix (feat. Emilia),1kqH58eGh2ZTOHwqBIB2tM,False,91,Una Foto Remix (feat. Emilia),4f47mbk3DOWJ16DXLnviMw,https://i.scdn.co/image/ab67616d0000b273d7e3250bc4b38c29a68a8af9,2024-01-05,Mesita,2IKdK6PbitvCiXt1t2bPU6,243899,6,0.313,0.76,0.703,0.0,0.0784,-3.667,1,0.0631,0.739,96.033,rap uruguayo
Top 50 - Argentina,Una Foto,4sl3IoHskl2Kbdy27gZ4yn,False,79,Una Foto,68oJKya0ABvKQkx5Zx0KXi,https://i.scdn.co/image/ab67616d0000b273494f7079a2a76c23f1d76bda,2023-08-15,Mesita,2IKdK6PbitvCiXt1t2bPU6,122500,6,0.343,0.811,0.649,0.0,0.121,-5.089,1,0.111,0.756,96.076,rap uruguayo
Top 50 - Argentina,"Young Miko: Bzrp Music Sessions, Vol. 58",6VciS3dRMpZhJiDxT8ArFi,False,94,"Young Miko: Bzrp Music Sessions, Vol. 58",0HMTQPl6rJmP7sQEaRYHRo,https://i.scdn.co/image/ab67616d0000b2737b58409ef2fbbcd4d0f4ed05,2024-01-10,Bizarrap,716NhGYqD1jl2wI1Qkgq36,190000,7,0.588,0.704,0.571,0.0,0.117,-8.212,0,0.156,0.443,96.016,"argentine hip hop, pop venezolano, trap argentino, trap latino, urbano latino"
Top 50 - Argentina,Buscando Money,357iDuZ0IXAAg3Aj7UszqO,False,81,Buscando Money,2kPKfMNrvUMOFVrFVENqrl,https://i.scdn.co/image/ab67616d0000b273be36350056798fae9bbb938c,2023-07-21,TWENTY SIX,6C2mFGFh8dz1vKp9l5Ce8P,150000,9,0.0895,0.817,0.812,0.536,0.0669,-6.674,0,0.057,0.725,128.028,
Top 50 - Argentina,LUNA,7bywjHOc0wSjGGbj04XbVi,False,97,FERXXOCALIPSIS,0lgs2Sa82lyX89nBUWyUy6,https://i.scdn.co/image/ab67616d0000b273f1aad814a40ec7419c234242,2023-12-01,Feid,2LRoIwlKmHjgvigdNGBHNo,196800,7,0.131,0.774,0.86,0.0,0.116,-2.888,0,0.13,0.446,100.019,"colombian pop, pop reggaeton, reggaeton, reggaeton colombiano, trap latino, urbano latino"
Top 50 - Argentina,ROZE | DJ TAO Turreo Sessions #22,5wcghdKONQcc5TKx9jCcns,False,82,ROZE | DJ TAO Turreo Sessions #22,5jpQWN1yr0LVt6ksILGFIP,https://i.scdn.co/image/ab67616d0000b27388c038e58c002d2f65f547c9,2023-11-23,DJ Tao,5CA5IqbsFr4hpNLdjgO0BU,155292,5,0.0805,0.814,0.63,0.0,0.101,-3.69,0,0.0881,0.702,89.974,cumbia 420
Top 50 - Argentina,Inocente,6gV8ALkSHfJi7Bprabr1FC,False,83,Inocente,1IwuM5jEXE9v58NVKUyrwk,https://i.scdn.co/image/ab67616d0000b273035116612c8da778cf7e640c,2023-12-01,Roze Oficial,2Hxu0Wmd7FUm0euCVInVrN,171500,11,0.485,0.615,0.728,0.0,0.0672,-4.136,1,0.0752,0.84,89.681,
Top 50 - Argentina,La_Original.mp3,6Es8Sk3xe1HiJ2MXCfHHwR,False,85,.mp3,2qo8j9yZIsx66yDuUho2jp,https://i.scdn.co/image/ab67616d0000b273bfb94590c914538b193f6931,2023-11-03,Emilia,0AqlFI0tz2DsEoJlKSIiT9,140625,5,0.0836,0.833,0.809,0.0,0.112,-2.751,0,0.0381,0.905,128.055,pop argentino
Top 50 - Argentina,Exclusive.mp3,5f4mOETLngamMDTJnbF9s7,False,85,.mp3,2qo8j9yZIsx66yDuUho2jp,https://i.scdn.co/image/ab67616d0000b273bfb94590c914538b193f6931,2023-11-03,Emilia,0AqlFI0tz2DsEoJlKSIiT9,120600,8,0.106,0.858,0.677,0.0,0.246,-4.294,1,0.118,0.584,100.046,pop argentino
Top 50 - Argentina,GTA.mp3,6hv8hai0yo19JF2c6pppj6,False,77,.mp3,2qo8j9yZIsx66yDuUho2jp,https://i.scdn.co/image/ab67616d0000b273bfb94590c914538b193f6931,2023-11-03,Emilia,0AqlFI0tz2DsEoJlKSIiT9,151654,7,0.0605,0.882,0.783,4.74e-05,0.141,-4.023,0,0.0985,0.555,127.035,pop argentino
Top 50 - Argentina,JET_Set.mp3,2raFBS5ysJMxhd755bvAcf,False,70,.mp3,2qo8j9yZIsx66yDuUho2jp,https://i.scdn.co/image/ab67616d0000b273bfb94590c914538b193f6931,2023-11-03,Emilia,0AqlFI0tz2DsEoJlKSIiT9,145920,0,0.0341,0.658,0.798,0.0,0.175,-4.108,1,0.138,0.568,135.515,pop argentino
Top 50 - Argentina,M.A.I,35ttE4t8lQZA2vuCYDg4G7,False,86,111,338cbfABt3duRORfvNeqLT,https://i.scdn.co/image/ab67616d0000b27398ee8fad7a30ff328b97d874,2023-11-30,Milo j,19HM5j0ULGSmEoRcrSe5x3,184027,10,0.758,0.364,0.572,0.0,0.229,-5.861,0,0.0341,0.514,80.363,"trap argentino, trap latino, urbano latino"
Top 50 - Argentina,Bronceado - Remix,1xxtsuafCIJm7WPQ1tdDDi,False,83,Bronceado (Remix),5h6GCVe6hkOkaG12TVrzr2,https://i.scdn.co/image/ab67616d0000b2739e9845cffd293789ba65654c,2023-12-13,Marama,4GepMkTgrIZECoCC55vqjW,156632,0,0.254,0.613,0.775,0.0,0.275,-4.241,1,0.032,0.727,142.437,cumbia pop
Top 50 - Argentina,Sin Querer,0kVpyCPMT52a05026zHGiq,True,80,Sin Querer,5crzwGAdOnMyylNrwt8fWx,https://i.scdn.co/image/ab67616d0000b273f57d48c3e02e593e45ce6f6d,2023-12-14,Fer Vazquez,5nAsuOI0lqqbii7YFCh7cB,141071,9,0.2,0.715,0.541,0.0,0.138,-6.909,0,0.041,0.735,83.975,
Top 50 - Argentina,Tal Para Cual,0mJRX0WnqWlu8Boe7gpQ1P,False,76,Tal Para Cual,2rqHSa1Lohs3fTDDFeFnBy,https://i.scdn.co/image/ab67616d0000b2733d726bb2f492a00b25f320fa,2024-01-11,Salastkbron,3WMlRpW5JWuDI95TcEWt3r,150000,10,0.352,0.857,0.708,0.0,0.1,-2.632,0,0.0402,0.914,98.009,pop argentino
Top 50 - Argentina,Besos con Fernet,1gAPIjqunPXRA4y1kYZi0q,False,82,Besos con Fernet,1lfhuCJZVMmGQswHM5nW2g,https://i.scdn.co/image/ab67616d0000b273c5ea12e29ea71c1882c1e04c,2023-11-07,Rusherking,3Apb2lGmGJaBmr0TTBJvIZ,148800,11,0.179,0.742,0.692,0.0,0.188,-3.687,1,0.0469,0.897,100.03,"trap argentino, trap triste"
Top 50 - Argentina,SINVERGÜENZA - con Angela Torres,2xbH0CuDbid800YW5nMPzR,False,80,SINVERGÜENZA - con Angela Torres,2j4yf0X00zieL424k90UVn,https://i.scdn.co/image/ab67616d0000b273b4e55d59b1a03ac8098db59d,2023-12-05,Emanero,2BTS8Np1YzPQuXjgdlqsBB,217491,0,0.111,0.729,0.807,0.0,0.145,-4.468,1,0.0307,0.654,94.021,"argentine hip hop, rap conciencia, rap underground argentino"
Top 50 - Argentina,ATORRANTE - con Los Palmeras,3ezO8gfskSWM3rk0GTfhFl,False,77,ATORRANTE - con Los Palmeras,7J0ELTewKJkd25s6AbcV1l,https://i.scdn.co/image/ab67616d0000b2738dd33c4b040cc8f2cae4a6dc,2023-07-08,Emanero,2BTS8Np1YzPQuXjgdlqsBB,252348,6,0.262,0.667,0.604,0.0,0.0842,-5.119,0,0.128,0.7,81.869,"argentine hip hop, rap conciencia, rap underground argentino"
Top 50 - Argentina,Linda - Remix,7HrgGbnNKZKhBL70aFKpXk,False,82,Linda (Remix),31O1cXWZUf4yRC28MwJ1wb,https://i.scdn.co/image/ab67616d0000b2736af4cc0ffa8a33766a117b6c,2023-09-27,Marka Akme,4SgKWjM7cJDCh2aY9H4HZf,234106,9,0.307,0.78,0.63,0.0,0.18,-4.719,1,0.105,0.789,87.999,cumbia pop
Top 50 - Argentina,FLECHAZO EN EL CENTRO,4jn3R3KF5hx2fCiXlj89yE,False,82,TU DUO FAVORITO,4n6BNKtpmZOYUyfecMzzpZ,https://i.scdn.co/image/ab67616d0000b273bdc75873468f700e068377e8,2023-09-06,YSY A,2qWK8K2Jfh67UqtwY8tCW6,186857,5,0.0927,0.767,0.607,0.0,0.112,-6.875,0,0.0516,0.38,104.98,"argentine hip hop, trap argentino"
Top 50 - Argentina,NO DA MÁS,7jDYmAWdghEWmQyqwLpriE,False,77,EL AFTER DEL AFTER,4XDH5D7YsE7B8xuhIBDyht,https://i.scdn.co/image/ab67616d0000b2732fca3c0524e8246fdf93cb55,2023-11-11,YSY A,2qWK8K2Jfh67UqtwY8tCW6,171051,8,0.012,0.606,0.929,0.0,0.173,-2.555,0,0.0658,0.346,159.806,"argentine hip hop, trap argentino"
Top 50 - Argentina,Un Finde | CROSSOVER #2,3tiJUOfAEqIrLFRQgGgdoY,False,85,Un Finde | CROSSOVER #2,7cAfD0HludcAifXAbcIR80,https://i.scdn.co/image/ab67616d0000b273fc9ce77ab8fcd9eadda3acd3,2023-04-04,Big One,2OhUNb01gLwygOizYvTm0e,163788,11,0.109,0.499,0.519,0.0,0.276,-8.199,1,0.0595,0.848,192.147,trap argentino
Top 50 - Argentina,Mentiras | CROSSOVER #3,6Z28dALKtAgZ7AZRfjMQjY,False,80,Mentiras | CROSSOVER #3,1adrM169dtUitpsQomXsX3,https://i.scdn.co/image/ab67616d0000b273df0218a20c298edf6219817f,2023-07-25,Big One,2OhUNb01gLwygOizYvTm0e,167600,11,0.00705,0.736,0.512,0.0,0.197,-10.957,1,0.0771,0.802,149.987,trap argentino
Top 50 - Argentina,Lágrimas | CROSSOVER #4,1lSayCmr2lS6ndxELoabIG,False,79,Lágrimas | CROSSOVER #4,30aaqAqle120bcBU5IDkgr,https://i.scdn.co/image/ab67616d0000b273b8dce066af158bd7d10ac955,2023-10-10,Big One,2OhUNb01gLwygOizYvTm0e,167419,5,0.0863,0.771,0.656,0.0,0.115,-4.078,0,0.065,0.609,93.069,trap argentino
Top 50 - Argentina,Ni Una Ni Dos,0H9WU0OIXPpbOVgzzOanXb,True,82,Ni Una Ni Dos,2BrbrEMfRYAMmNPprw4Jey,https://i.scdn.co/image/ab67616d0000b2732e719c605f8d5be0633611a6,2023-06-28,BM,5TP8Ubo4jLKEi4Mw2O8fAk,161591,7,0.513,0.781,0.601,0.0,0.268,-5.817,1,0.0459,0.853,88.06,previa
Top 50 - Argentina,OJITOS ROJOS,11PV8CaPqlto9Uejx92C35,False,81,El Comienzo,5i9lMMUZ1QZNsLEE3j50kT,https://i.scdn.co/image/ab67616d0000b27382ce4c7bbf861185252e82ae,2023-08-25,Grupo Frontera,6XkjpgcEsYab502Vr1bBeW,221601,11,0.251,0.721,0.782,0.0,0.107,-3.51,1,0.045,0.77,90.001,musica chihuahuense
Top 50 - Argentina,El Amor de Mi Vida,1zgTTXWby9R40Gj9rHgH8e,False,83,El Amor De Mi Vida,2RPuxZNaziqNHjbUgoE8iW,https://i.scdn.co/image/ab67616d0000b2730fbfe75fb58c2e07def46917,2023-08-18,Los Ángeles Azules,0ZCO8oVkMj897cKgFH7fRW,184587,11,0.163,0.618,0.793,0.0,0.0822,-4.013,0,0.0493,0.688,88.01,"gruperas inmortales, musica mexicana, nu-cumbia, ranchera, tropical"
Top 50 - Argentina,Piscina,6q6aChVJ5LLXFUSfakwpxW,True,82,Piscina,2dgGJoPFotq4qDUbzAKVU0,https://i.scdn.co/image/ab67616d0000b273406c651ce622e53f8fa1c179,2023-11-08,Maria Becerra,1DxLCyH42yaHKGK3cl5bvG,225661,11,0.385,0.761,0.827,6.42e-05,0.095,-4.189,0,0.0659,0.568,97.021,pop argentino
Top 50 - Argentina,CORAZÓN VACÍO,3oNnzH6hmqIGIhJ1NcHlrh,False,83,CORAZÓN VACÍO,3YBQyY0Bj7bpxj0VHAse0P,https://i.scdn.co/image/ab67616d0000b273a3cbe5aa0bcf10eb02a8c960,2023-06-22,Maria Becerra,1DxLCyH42yaHKGK3cl5bvG,160536,1,0.334,0.681,0.792,2.05e-06,0.295,-4.795,1,0.0587,0.4,98.09,pop argentino
Top 50 - Argentina,Le Gustan lo' Flaites,1smRP4zRit7A6ZDQXkFJWC,True,80,Le Gustan lo' Flaites,7F0QdDugWW1NkQBtQXhFkx,https://i.scdn.co/image/ab67616d0000b273d76d74ac828b5eb2d5314ecf,2023-03-17,El Joan,4d7tFHxzWvzfsgCqPAEOSQ,183329,9,0.079,0.73,0.697,0.0,0.0494,-3.067,1,0.0658,0.42,94.944,
