playlist_name,music_name,music_id,music_explicit,music_popularity,album_name,album_id,album_image,album_release_date,artist_name,artist_id,music_duration,music_key,music_acousticness,music_danceability,music_energy,music_instrumentalness,music_liveness,music_loudness,music_mode,music_speechness,music_valence,music_tempo,artist_genres
Top 50 - Brazil,POCPOC,0oQCRjrWGvkqkdf82UlXI3,False,88,POCPOC,3nwyZyralFOdRGEyNMjSJX,https://i.scdn.co/image/ab67616d0000b2739445764e37cb51387ceba981,2023-11-23,PEDRO SAMPAIO,5wbf52LA6kcaboHSN6NEF1,127385,10,0.239,0.837,0.636,0.0,0.0683,-4.206,0,0.0521,0.857,129.891,"funk carioca, funk rj"
Top 50 - Brazil,Let's Go 4,2InS5VWKJQbsFBKOsf1cJB,True,89,Let's Go 4,5bL1JfGehas80YH7qoCyBL,https://i.scdn.co/image/ab67616d0000b273a2ab8a2b4cbbf685827eb835,2023-08-29,Dj GBR,0IhzJFf4QBEz0ifqLwScKV,641941,10,0.123,0.782,0.631,0.0,0.0808,-8.473,0,0.592,0.866,113.427,rave funk
Top 50 - Brazil,Macetando,6eJUG282cUKuIoa72sEsqO,False,81,Macetando,6FEJSBFIqZe9GYN2xaAP52,https://i.scdn.co/image/ab67616d0000b2733bc15b5807bd7e3500944a69,2023-12-15,Ivete Sangalo,7dzq55YG3wjViqexDwiycQ,167787,11,0.0611,0.807,0.789,0.0,0.722,-5.237,0,0.0769,0.808,129.992,"arrocha, axe, mpb, pagode, pop nacional, samba reggae, sertanejo universitario"
Top 50 - Brazil,Baby Eu Tava na Rua da Água,4sAoshwHCmh4IHMQxZHwRD,True,81,Baby Eu Tava na Rua da Água,6HIPvZhnf9Pb6rFLQb7vmD,https://i.scdn.co/image/ab67616d0000b273f0d367f7703cd2c287e2e5a4,2023-12-01,TR,2CotyFTVKWR1jJLPTrrjdu,116308,7,0.271,0.637,0.703,0.0,0.312,3.233,1,0.201,0.721,84.295,
Top 50 - Brazil,Dia de Fluxo,6GmyQws2xpUFIN5dXBNTrl,False,84,Dia de Fluxo,58jzd3ALDliyTUI5Ke8jmS,https://i.scdn.co/image/ab67616d0000b2732d0ff645a34a82365a04add6,2023-12-18,AgroPlay,0uGWkZRPp1Urk77XBrPBsZ,133611,4,0.0916,0.821,0.687,3.14e-06,0.0858,-3.515,0,0.0551,0.869,129.906,agronejo
Top 50 - Brazil,Silverado (AgroPlay Verão),26l5FAEVr9cfaILS0szvvt,False,78,Silverado (AgroPlay Verão),0jc1n9dACj0B3LxivgmrQb,https://i.scdn.co/image/ab67616d0000b273f29f5cda5674d689dc12a9c3,2024-01-18,AgroPlay,0uGWkZRPp1Urk77XBrPBsZ,162194,11,0.166,0.824,0.819,0.001,0.425,-4.263,0,0.118,0.719,94.02,agronejo
Top 50 - Brazil,DEJA VU,2IDf0IZ9dfw0uDYV2n1bJc,False,90,DEJA VU,0aN9m8iDUE1Khh5qL6Aj4q,https://i.scdn.co/image/ab67616d0000b273e035c09f33e2a896edef4bdb,2023-12-07,Luan Santana,3qvcCP2J0fWi0m0uQDUf6r,199827,8,0.195,0.572,0.573,0.0,0.0897,-6.028,1,0.0596,0.468,141.935,"arrocha, sertanejo, sertanejo universitario"
Top 50 - Brazil,MEIO TERMO - Ao Vivo,23IebZSNZ8VzwUr4rJNGRG,False,85,LUAN CITY 2.0 (Ao Vivo),6rzJP5MMqTNT0OHwOn9wUD,https://i.scdn.co/image/ab67616d0000b273845b7e5dfb634d609b154e7a,2023-11-09,Luan Santana,3qvcCP2J0fWi0m0uQDUf6r,175468,9,0.123,0.48,0.955,0.0,0.393,-4.771,1,0.178,0.337,164.126,"arrocha, sertanejo, sertanejo universitario"
Top 50 - Brazil,Perna Bamba,6fcQIY5VSFNrK4YzDoljPQ,False,69,Diferentão,4GEKE1p87kk2tSgMAvubVl,https://i.scdn.co/image/ab67616d0000b273293d69eba6c7194254f56dbd,2023-12-15,Parangolé,2v5eqze59fqRes2e5QVGhf,127220,9,0.352,0.827,0.894,8.36e-06,0.366,-3.386,1,0.0727,0.96,134.012,"axe, pagode, pagode baiano"
Top 50 - Brazil,Tenho Que Me Decidir,697gwO5YoSGVAnlfREIZll,True,86,O Cara Do Momento,2GJl4ruFhOBOghvHKVv6wV,https://i.scdn.co/image/ab67616d0000b273c7672809f4efc51cf3b1cc27,2023-11-29,MC PH,4PLdCloYxu2bMKfuuB9lI5,232258,1,0.392,0.795,0.603,0.0,0.118,-6.703,1,0.0775,0.753,124.109,"funk consciente, funk paulista"
