playlist_name,music_name,music_id,music_explicit,music_popularity,album_name,album_id,album_image,album_release_date,artist_name,artist_id,music_duration,music_key,music_acousticness,music_danceability,music_energy,music_instrumentalness,music_liveness,music_loudness,music_mode,music_speechness,music_valence,music_tempo,artist_genres
Top 50 - Canada,Beautiful Things,6tNQ70jh4OwmPGpYy6R2o9,False,94,Beautiful Things,29aSKB1qPEbN0Qf9OPSQpw,https://i.scdn.co/image/ab67616d0000b273f2a919d3fa0f2b2593c92d19,2024-01-18,Benson Boone,22wbnEMDvgVIAGdFeek6ET,180304,10,0.151,0.472,0.471,0.0,0.14,-5.692,1,0.0603,0.219,105.029,singer-songwriter pop
Top 50 - Canada,Stick Season,0mflMxspEfB0VbI1kyLiAv,False,97,Stick Season,50ZenUP4O2Q5eCy2NRNvuz,https://i.scdn.co/image/ab67616d0000b2736ee35072df1af802cca09918,2022-10-14,Noah Kahan,2RQXRUsr4IW1f3mKyKsy4B,182347,9,0.782,0.662,0.488,0.0,0.102,-6.894,1,0.0682,0.817,117.913,pov: indie
Top 50 - Canada,Dial Drunk (with Post Malone),22VHOlVYBqytsrAqV8yXBK,True,87,Dial Drunk (with Post Malone),4XahqkOmEsKLKEhBpX8DAe,https://i.scdn.co/image/ab67616d0000b273f519f148d88bf65074b4a3a9,2023-07-18,Noah Kahan,2RQXRUsr4IW1f3mKyKsy4B,213817,8,0.121,0.667,0.613,0.0,0.113,-7.147,1,0.0313,0.681,112.046,pov: indie
Top 50 - Canada,greedy,3rUGC1vUpkDG9CZFHMur1t,True,100,greedy,3UOV8XvCwMKaATRNXrYCjN,https://i.scdn.co/image/ab67616d0000b27322fd802bc61db666c7c81aa8,2023-09-15,Tate McRae,45dkTj5sMRSjrmBSBeiHym,131872,6,0.256,0.75,0.733,0.0,0.114,-3.18,0,0.0319,0.844,111.018,"alt z, pop"
Top 50 - Canada,exes,4E63weMCaNZuGPEFMnuEi8,True,90,THINK LATER,0OUOx6rJXtL66AzTnP9KUE,https://i.scdn.co/image/ab67616d0000b27377eb7a5b9367de79c3b92a49,2023-12-08,Tate McRae,45dkTj5sMRSjrmBSBeiHym,159401,5,0.173,0.821,0.575,0.000242,0.114,-6.57,0,0.0589,0.611,136.962,"alt z, pop"
Top 50 - Canada,Lovin On Me,4xhsWYTOGcal8zt0J161CU,True,99,Lovin On Me,6VCO0fDBGbRW8mCEvV95af,https://i.scdn.co/image/ab67616d0000b273fcf4adae77baba5d0169e8e8,2023-11-10,Jack Harlow,2LIk90788K0zvyj2JJVwkJ,138411,2,0.0026,0.943,0.558,2.19e-06,0.0937,-4.911,1,0.0568,0.606,104.983,"deep underground hip hop, kentucky hip hop, pop rap, rap"
Top 50 - Canada,Lose Control,17phhZDn6oGtzMe56NuWvj,False,92,I've Tried Everything But Therapy (Part 1),7nacKlk586eLRBSIsrk9DB,https://i.scdn.co/image/ab67616d0000b2731a0323cc23419360a34a3ace,2023-09-15,Teddy Swims,33qOK5uJ8AR2xuQQAhHump,210689,9,0.199,0.561,0.604,1.9e-05,0.104,-4.409,1,0.0337,0.242,159.92,
Top 50 - Canada,redrum,52eIcoLUM25zbQupAZYoFh,True,96,american dream,2RRYaYHY7fIIdvFlvgb5vq,https://i.scdn.co/image/ab67616d0000b273bbdceba2bf1867d4966d0347,2024-01-12,21 Savage,1URnnhqYAYcrqrcwql10ft,270698,2,0.00529,0.624,0.74,0.000224,0.5,-8.445,1,0.0481,0.246,172.089,"atl hip hop, hip hop, rap"
Top 50 - Canada,née-nah,2yUzr8Sr6ldG8vmHhZwTnz,True,90,american dream,2RRYaYHY7fIIdvFlvgb5vq,https://i.scdn.co/image/ab67616d0000b273bbdceba2bf1867d4966d0347,2024-01-12,21 Savage,1URnnhqYAYcrqrcwql10ft,220584,1,0.00495,0.678,0.758,0.0,0.57,-6.524,1,0.227,0.318,165.423,"atl hip hop, hip hop, rap"
Top 50 - Canada,I Remember Everything (feat. Kacey Musgraves),4KULAymBBJcPRpk1yO4dOG,False,94,Zach Bryan,6PbnGueEO6LGodPfvNldYf,https://i.scdn.co/image/ab67616d0000b273e5a25ed08d1e7e0fbb440cef,2023-08-25,Zach Bryan,40ZNYROS4zLfyyBSs2PGe2,227196,0,0.554,0.429,0.453,2e-06,0.102,-7.746,1,0.0459,0.155,77.639,classic oklahoma country
