playlist_name,music_name,music_id,music_explicit,music_popularity,album_name,album_id,album_image,album_release_date,artist_name,artist_id,music_duration,music_key,music_acousticness,music_danceability,music_energy,music_instrumentalness,music_liveness,music_loudness,music_mode,music_speechness,music_valence,music_tempo,artist_genres
Top 50 - Colombia,LUNA,7bywjHOc0wSjGGbj04XbVi,False,97,FERXXOCALIPSIS,0lgs2Sa82lyX89nBUWyUy6,https://i.scdn.co/image/ab67616d0000b273f1aad814a40ec7419c234242,2023-12-01,Feid,2LRoIwlKmHjgvigdNGBHNo,196800,7,0.131,0.774,0.86,0.0,0.116,-2.888,0,0.13,0.446,100.019,"colombian pop, pop reggaeton, reggaeton, reggaeton colombiano, trap latino, urbano latino"
Top 50 - Colombia,CUAL ES ESA,05sO6FK8E9l2cfwnEUTjHq,True,83,FERXXOCALIPSIS,0lgs2Sa82lyX89nBUWyUy6,https://i.scdn.co/image/ab67616d0000b273f1aad814a40ec7419c234242,2023-12-01,Feid,2LRoIwlKmHjgvigdNGBHNo,172507,6,0.0179,0.916,0.481,0.0,0.121,-4.483,0,0.194,0.714,95.998,"colombian pop, pop reggaeton, reggaeton, reggaeton colombiano, trap latino, urbano latino"
Top 50 - Colombia,CLASSY 101,1hZsWUnLbqRw09jLAMQSsb,True,85,FERXXOCALIPSIS,0lgs2Sa82lyX89nBUWyUy6,https://i.scdn.co/image/ab67616d0000b273f1aad814a40ec7419c234242,2023-12-01,Feid,2LRoIwlKmHjgvigdNGBHNo,195587,11,0.126,0.858,0.665,0.0,0.119,-4.772,1,0.152,0.659,100.09,"colombian pop, pop reggaeton, reggaeton, reggaeton colombiano, trap latino, urbano latino"
Top 50 - Colombia,ALAKRAN,2Yc3MHpZ9R5UCIz78E20AQ,False,82,FERXXOCALIPSIS,0lgs2Sa82lyX89nBUWyUy6,https://i.scdn.co/image/ab67616d0000b273f1aad814a40ec7419c234242,2023-12-01,Feid,2LRoIwlKmHjgvigdNGBHNo,90613,7,0.039,0.692,0.633,4.09e-05,0.118,-3.085,0,0.0721,0.319,98.088,"colombian pop, pop reggaeton, reggaeton, reggaeton colombiano, trap latino, urbano latino"
Top 50 - Colombia,Feliz Cumpleaños Ferxxo,2CeKVsFFXG4QzA415QygGb,False,88,FELIZ CUMPLEAÑOS FERXXO TE PIRATEAMOS EL ÁLBUM,7pijRxgRaBirPz6wDaJIp9,https://i.scdn.co/image/ab67616d0000b27373456ed697350847810e52b3,2022-09-14,Feid,2LRoIwlKmHjgvigdNGBHNo,155960,5,0.0863,0.865,0.573,0.0,0.305,-5.501,1,0.0678,0.563,94.999,"colombian pop, pop reggaeton, reggaeton, reggaeton colombiano, trap latino, urbano latino"
Top 50 - Colombia,LA VUELTA,01W6syCgxisKd0gDqFRdEG,False,79,FERXXOCALIPSIS,0lgs2Sa82lyX89nBUWyUy6,https://i.scdn.co/image/ab67616d0000b273f1aad814a40ec7419c234242,2023-12-01,Feid,2LRoIwlKmHjgvigdNGBHNo,121920,1,0.0416,0.835,0.824,2.52e-06,0.122,-3.928,1,0.288,0.323,93.932,"colombian pop, pop reggaeton, reggaeton, reggaeton colombiano, trap latino, urbano latino"
Top 50 - Colombia,CHORRITO PA LAS ANIMAS,0CYTGMBYkwUxrj1MWDLrC5,True,85,SIXDO,31L7J7AO993tSBxAunoeoa,https://i.scdn.co/image/ab67616d0000b2737cc7b0d6a82846cd8b158f99,2022-12-02,Feid,2LRoIwlKmHjgvigdNGBHNo,168133,8,0.114,0.743,0.831,6.43e-05,0.35,-4.042,0,0.0584,0.609,95.975,"colombian pop, pop reggaeton, reggaeton, reggaeton colombiano, trap latino, urbano latino"
Top 50 - Colombia,Normal,0T2pB7P1VdXPhLdQZ488uH,True,85,FELIZ CUMPLEAÑOS FERXXO TE PIRATEAMOS EL ÁLBUM,7pijRxgRaBirPz6wDaJIp9,https://i.scdn.co/image/ab67616d0000b27373456ed697350847810e52b3,2022-09-14,Feid,2LRoIwlKmHjgvigdNGBHNo,171880,4,0.034,0.709,0.56,0.0,0.315,-4.867,0,0.171,0.541,170.082,"colombian pop, pop reggaeton, reggaeton, reggaeton colombiano, trap latino, urbano latino"
Top 50 - Colombia,Ferxxo 100,1sbNEFiURUYfy024cJX8JG,False,82,FELIZ CUMPLEAÑOS FERXXO TE PIRATEAMOS EL ÁLBUM,7pijRxgRaBirPz6wDaJIp9,https://i.scdn.co/image/ab67616d0000b27373456ed697350847810e52b3,2022-09-14,Feid,2LRoIwlKmHjgvigdNGBHNo,167760,8,0.257,0.705,0.562,0.0,0.137,-3.378,0,0.0674,0.569,163.893,"colombian pop, pop reggaeton, reggaeton, reggaeton colombiano, trap latino, urbano latino"
Top 50 - Colombia,BUBALU,62xla8336vUnmxTWNzCfRt,False,80,"MOR, No Le Temas a La Oscuridad",16ScBmKm5WA3RwvTqiQlJd,https://i.scdn.co/image/ab67616d0000b2731e76d5d8c654a8f5e640392b,2023-09-29,Feid,2LRoIwlKmHjgvigdNGBHNo,228187,6,0.135,0.786,0.803,4.11e-06,0.11,-5.232,0,0.072,0.722,112.007,"colombian pop, pop reggaeton, reggaeton, reggaeton colombiano, trap latino, urbano latino"
Top 50 - Colombia,YO AK,5ktB9kTVHGFSMdJ2G0WdhN,True,77,FERXXOCALIPSIS,0lgs2Sa82lyX89nBUWyUy6,https://i.scdn.co/image/ab67616d0000b273f1aad814a40ec7419c234242,2023-12-01,Feid,2LRoIwlKmHjgvigdNGBHNo,205067,1,0.125,0.778,0.705,1.26e-06,0.0811,-4.565,0,0.0649,0.591,90.964,"colombian pop, pop reggaeton, reggaeton, reggaeton colombiano, trap latino, urbano latino"
Top 50 - Colombia,Prohibidox,3PpWCS95gDUDRPko3u1MZ9,False,80,FELIZ CUMPLEAÑOS FERXXO TE PIRATEAMOS EL ÁLBUM,7pijRxgRaBirPz6wDaJIp9,https://i.scdn.co/image/ab67616d0000b27373456ed697350847810e52b3,2022-09-14,Feid,2LRoIwlKmHjgvigdNGBHNo,166253,1,0.0451,0.647,0.801,0.0,0.0628,-2.946,0,0.249,0.517,180.108,"colombian pop, pop reggaeton, reggaeton, reggaeton colombiano, trap latino, urbano latino"
Top 50 - Colombia,PERRO NEGRO,7iQXYTyuG13aoeHxGG28Nh,True,96,nadie sabe lo que va a pasar mañana,4FftCsAcXXD1nFO9RFUNFO,https://i.scdn.co/image/ab67616d0000b2737b1fc51ff3257b5286a1ecec,2023-10-13,Bad Bunny,4q3ewBCX7sLwd24euuV69X,162768,5,0.0887,0.911,0.778,2.16e-05,0.179,-2.248,1,0.262,0.345,96.057,"reggaeton, trap latino, urbano latino"
Top 50 - Colombia,MONACO,4MjDJD8cW7iVeWInc2Bdyj,True,93,nadie sabe lo que va a pasar mañana,4FftCsAcXXD1nFO9RFUNFO,https://i.scdn.co/image/ab67616d0000b2737b1fc51ff3257b5286a1ecec,2023-10-13,Bad Bunny,4q3ewBCX7sLwd24euuV69X,267194,4,0.15,0.787,0.621,0.000402,0.58,-5.009,0,0.068,0.13,139.056,"reggaeton, trap latino, urbano latino"
Top 50 - Colombia,La Diabla,0R6NfOiLzLj4O5VbYSJAjf,False,99,La Diabla,2IoSjweCu07y9mv5H1Cj3v,https://i.scdn.co/image/ab67616d0000b2731501c770de50a22b25d67611,2023-11-30,Xavi,3Me35AWHCGqW4sZ7bWWJt1,172264,11,0.255,0.751,0.819,0.0,0.236,-4.372,0,0.0409,0.697,131.842,sad sierreno
Top 50 - Colombia,La Víctima,5XVdHRf4CAJ2Jm0uMIy5qY,True,96,La Víctima,30KJEN3ICjhYsZ1NgunRCr,https://i.scdn.co/image/ab67616d0000b2730e8dc9720dd03d86627fa54b,2023-08-17,Xavi,3Me35AWHCGqW4sZ7bWWJt1,156346,11,0.152,0.778,0.835,0.0,0.109,-3.598,0,0.0767,0.666,140.082,sad sierreno
Top 50 - Colombia,SI SABE FERXXO,7chTH3GBjjAyagf0SPCZDL,True,82,SI SABE,7ot6ebVthlYG3wXzLaZ5NF,https://i.scdn.co/image/ab67616d0000b2739634fca36bf59f758ec93aa3,2024-01-25,Blessd,1TA5sGRlKUJXBN4ZyJuDIX,152500,8,0.0139,0.726,0.831,3.71e-06,0.0891,-2.035,0,0.12,0.489,95.997,"reggaeton, urbano latino"
