playlist_name,music_name,music_id,music_explicit,music_popularity,album_name,album_id,album_image,album_release_date,artist_name,artist_id,music_duration,music_key,music_acousticness,music_danceability,music_energy,music_instrumentalness,music_liveness,music_loudness,music_mode,music_speechness,music_valence,music_tempo,artist_genres
Top 50 - Egypt,هيجيلي موجوع,2Heqj9jtxarmecKxycGSWn,False,70,هيجيلي موجوع,0pSmKTjNF9e51ZUGXRVDWI,https://i.scdn.co/image/ab67616d0000b273cd4df6e737c52ff5ddc2f6de,2024-01-11,Tamer Ashour,5rCq30EbJ3DfZPKybGZj8F,210714,1,0.487,0.556,0.675,3.53e-05,0.102,-6.85,0,0.0564,0.742,167.826,"arab pop, egyptian pop"
Top 50 - Egypt,Khaleny Fe Hodnak,6yVGUtmHwDsqqXs1Lak423,False,65,Tegy Ntrahn,45VciPIELkkQgWSkS2QLlq,https://i.scdn.co/image/ab67616d0000b27383d3f05128296659bd6919ea,2022-01-20,Tamer Ashour,5rCq30EbJ3DfZPKybGZj8F,196651,1,0.137,0.516,0.675,0.0,0.178,-4.517,0,0.0287,0.443,129.963,"arab pop, egyptian pop"
Top 50 - Egypt,Kan Mawdo3,3FJ2RFcLUogTbyt9MGVQoC,False,62,Tegy Ntrahn,45VciPIELkkQgWSkS2QLlq,https://i.scdn.co/image/ab67616d0000b27383d3f05128296659bd6919ea,2022-01-20,Tamer Ashour,5rCq30EbJ3DfZPKybGZj8F,282430,2,0.4,0.478,0.639,0.0,0.106,-5.248,0,0.0454,0.298,139.619,"arab pop, egyptian pop"
Top 50 - Egypt,Tegy Ntrahn,2NF0gMDLnJSaqIfj0SvrDi,False,62,Tegy Ntrahn,45VciPIELkkQgWSkS2QLlq,https://i.scdn.co/image/ab67616d0000b27383d3f05128296659bd6919ea,2022-01-20,Tamer Ashour,5rCq30EbJ3DfZPKybGZj8F,240673,6,0.519,0.624,0.622,0.0,0.0764,-7.942,0,0.0901,0.584,90.014,"arab pop, egyptian pop"
Top 50 - Egypt,ايويا يا حبيبتي وحشتيني - مهرجان - ايويا يا حبيبتي وحشتيني - اسلام كابونجا - كلوشه - توزيع فيجو الدخلاوي - مهرجانات 2023,3uwYsiS1nnYDfVQMBbdX2B,True,69,ايويا يا حبيبتي وحشتيني (مهرجان - ايويا يا حبيبتي وحشتيني - اسلام كابونجا - كلوشه - توزيع فيجو الدخلاوي - مهرجانات 2023),7iGVlni4ye8mrzeoxXNE8A,https://i.scdn.co/image/ab67616d0000b273ec85276101724cb439e43fb0,2023-07-03,Eslam Kabonga,25P1GMgHepq6rkzRwg2DcB,433935,0,0.331,0.883,0.888,0.0,0.268,-1.012,0,0.107,0.827,107.015,mahraganat
Top 50 - Egypt,اللي نفسه فيا بيتي ميتوهش,1qhODkCMlYY22JflCKJQnz,False,67,اللي نفسه فيا بيتي ميتوهش,6KvK6k20VxB2PGWw9zfml5,https://i.scdn.co/image/ab67616d0000b273f629f09c000f9239113cf422,2023-10-12,Eslam Kabonga,25P1GMgHepq6rkzRwg2DcB,385068,9,0.357,0.754,0.843,0.0,0.359,-5.921,0,0.113,0.953,107.99,mahraganat
Top 50 - Egypt,انا مش لومانجى ( نازل نيابه عندى جلسه ),6rxTHBynk2xnedaoqsW7p4,False,59,انا مش لومانجى ( نازل نيابه عندى جلسه ),3U47eeodwsMIm9I8l2VPKb,https://i.scdn.co/image/ab67616d0000b273a422677edc1069a058b7e838,2023-06-10,Eslam Kabonga,25P1GMgHepq6rkzRwg2DcB,330253,1,0.209,0.894,0.774,0.0,0.186,-1.758,1,0.0913,0.916,110.042,mahraganat
Top 50 - Egypt,بونجور هلعب جولة وطفو النور,2X6nInxASivyRpPPNToiD0,True,53,بونجور هلعب جولة وطفو النور,7HF3n8vA2aCNJH0UpZWECf,https://i.scdn.co/image/ab67616d0000b27372f05b024f46db6750f1efed,2023-12-20,Eslam Kabonga,25P1GMgHepq6rkzRwg2DcB,355939,2,0.067,0.9,0.86,0.0,0.128,-1.963,0,0.113,0.69,108.036,mahraganat
Top 50 - Egypt,سيبك من اللي خلع - من فيلم حمص وحلاوة,7ME2ZENU0G5H7IlnPbWvOv,False,68,سيبك من اللي خلع (من فيلم حمص وحلاوة),5VVLkrKS5EIDoy3ehMbGNX,https://i.scdn.co/image/ab67616d0000b2734e55cfa017de9b6d121e27ac,2023-10-01,Mahmoud El Leithy,2iToE4LH0W9zs4hVw3A7m6,172364,5,0.12,0.89,0.917,0.0,0.265,-1.942,1,0.0443,0.771,110.003,"arab pop, shaabi"
Top 50 - Egypt,سيبك من كرته المواقع ( خد كشاف انا عارف انك ياض بتخاف ),2hVnTuP0zdUEwHhME9ThnC,False,60,سيبك من كرته المواقع ( خد كشاف انا عارف انك ياض بتخاف ),01v64ppe2dHzvYGzpIbZrn,https://i.scdn.co/image/ab67616d0000b273c058cc45c249da42431a687b,2023-12-31,Ameen Khattab,15EdXJSvJSrjOGXsIimK0d,248337,2,0.38,0.819,0.874,0.0,0.0558,-3.722,0,0.0462,0.835,115.995,mahraganat
Top 50 - Egypt,كلام عينيه,6g95dK7o7vVh8ZCnDAseU5,False,77,نساى,1aCq7XjXXVc3WxPYYUrbeP,https://i.scdn.co/image/ab67616d0000b273cfa4e906cda39d8f62fe81e3,2018-10-24,Sherine,2Wk167T0fY1fABsHM5qFcI,235833,1,0.0477,0.573,0.759,1.37e-06,0.193,-4.706,0,0.0428,0.745,131.931,"arab pop, egyptian pop"
Top 50 - Egypt,الوتر الحساس,63Gl4Wqr98iJnWoNGFOQjr,False,74,نساى,1aCq7XjXXVc3WxPYYUrbeP,https://i.scdn.co/image/ab67616d0000b273cfa4e906cda39d8f62fe81e3,2018-10-24,Sherine,2Wk167T0fY1fABsHM5qFcI,261224,4,0.462,0.716,0.823,6.39e-06,0.628,-4.873,0,0.0528,0.909,139.931,"arab pop, egyptian pop"
Top 50 - Egypt,Sabry Aalil,7qLXBcYW78is9LygQBziAU,False,76,Garh Tany,7iykGeMdxOdYtNRtYCNaMA,https://i.scdn.co/image/ab67616d0000b2736f5efd372331919ebd9d0fc9,2003-01-01,Sherine,2Wk167T0fY1fABsHM5qFcI,289228,5,0.259,0.727,0.933,1.48e-05,0.326,-6.008,1,0.0545,0.962,99.972,"arab pop, egyptian pop"
Top 50 - Egypt,El Mabda2,6m8vcn1JPflk8xBoFsaPDP,False,66,آخر قطعة فنية,5YxBzNI1LIAI86UHm1kTrS,https://i.scdn.co/image/ab67616d0000b2738db9ae6c73c671d4cf30e9f5,2023-11-27,Marwan Pablo,56chSp36PsMhpQvUn1kdR3,158586,9,0.379,0.797,0.614,0.0,0.122,-6.05,1,0.0616,0.363,111.989,"egyptian hip hop, egyptian trap"
Top 50 - Egypt,Matafetch,0ZGmHDAUSgGV5mCUbtYFe7,False,65,آخر قطعة فنية,5YxBzNI1LIAI86UHm1kTrS,https://i.scdn.co/image/ab67616d0000b2738db9ae6c73c671d4cf30e9f5,2023-11-27,Marwan Pablo,56chSp36PsMhpQvUn1kdR3,156415,6,0.134,0.596,0.694,0.0,0.105,-7.461,0,0.0345,0.27,160.003,"egyptian hip hop, egyptian trap"
Top 50 - Egypt,Lelly Yah - Remastered,4y5cWLlxJzEumBAdGzdY5s,True,59,آخر قطعة فنية,5YxBzNI1LIAI86UHm1kTrS,https://i.scdn.co/image/ab67616d0000b2738db9ae6c73c671d4cf30e9f5,2023-11-27,Marwan Pablo,56chSp36PsMhpQvUn1kdR3,188119,10,0.165,0.776,0.633,0.0,0.205,-6.448,0,0.0928,0.388,119.962,"egyptian hip hop, egyptian trap"
Top 50 - Egypt,Fouq,1CQzS4IBMOHRYGgEg3eZrz,False,64,Lehqt Nafsy,5Hy7i5IWXGVgnZ6EGYK5Oq,https://i.scdn.co/image/ab67616d0000b2739892149d21ca85f64ee6b432,2023-10-01,Assala Nasri,6MQnUjIjnIOfHDFzqBJOAl,192927,2,0.392,0.46,0.6,0.0,0.32,-5.404,0,0.0606,0.572,137.585,"arab pop, classic arab pop, khaliji, syrian pop"
Top 50 - Egypt,يا قلبي لا محبتكش ( لماذا قلبي نبضو قل ),3vPePoOiJnSDLyqD3Hvrcr,False,64,يا قلبي لا محبتكش ( لماذا قلبي نبضو قل ),7zg6KPeLKSdr2TclbBA22w,https://i.scdn.co/image/ab67616d0000b2733e63d10e74282f7103e91323,2023-11-17,Kimo Eldeeb,18A2yU1GvQnE6cozN5oJky,204774,11,0.544,0.644,0.807,0.0,0.455,-2.198,0,0.0471,0.505,94.893,"egyptian viral pop, mahraganat"
Top 50 - Egypt,YAZMEELY,3WOiSsqfXPZAtGTr2PFj6S,False,66,Ya Kahera,3dUTTXt9860nBInTMPkFDm,https://i.scdn.co/image/ab67616d0000b2738a13e2e2d66a491e1ce50dff,2023-07-21,Muhab,3mUUUQDWnVlttF1yERxmPQ,196806,5,0.575,0.706,0.467,0.0,0.112,-9.396,0,0.0401,0.224,100.045,egyptian trap
Top 50 - Egypt,زماني صابني عيار,0zyAjQxKKcs5UAdctKc0xR,True,57,زماني صابني عيار,49BPIEHw4Maf9tDihzYwgb,https://i.scdn.co/image/ab67616d0000b273c5e5f36f31365248b7b21e35,2023-12-18,Magdy El Zahar,5CSaIf8OAstAYE5oqQeS15,189818,0,0.47,0.732,0.892,0.0,0.102,-1.202,0,0.121,0.797,109.975,egyptian viral pop
Top 50 - Egypt,Woseltelha,1oh3WIRKgoNi60o9SMykwS,False,66,Woseltelha,6RrDEMqADohA3DYvWkulNB,https://i.scdn.co/image/ab67616d0000b273a618ed69cf6d79b53f991a9a,2024-01-12,Haifa Wehbe,05ai8foZsZwk0cni0IOuNj,248242,5,0.13,0.671,0.744,2.25e-05,0.105,-6.582,0,0.0381,0.472,91.037,"arab pop, lebanese pop"
