playlist_name,music_name,music_id,music_explicit,music_popularity,album_name,album_id,album_image,album_release_date,artist_name,artist_id,music_duration,music_key,music_acousticness,music_danceability,music_energy,music_instrumentalness,music_liveness,music_loudness,music_mode,music_speechness,music_valence,music_tempo,artist_genres
Top 50 - France,Ceux qu'on était,5Pzh42xn3oAXHh4U7tVHMr,False,45,Ceux qu'on était,0s4v36LmZVmcutSEXwt3uD,https://i.scdn.co/image/ab67616d0000b27398855c34c214d3781bb3aafc,2024-02-07,Pierre Garnier,07UyhXWf7aDbvCZKhTKCpr,172610,1,0.585,0.545,0.524,0.0,0.0744,-10.072,1,0.0322,0.276,145.876,
Top 50 - France,Petit génie,1eldTykrnkEBLX41bk5eMw,True,84,Petit génie,4Ta3fRzeMUtQlQrrcn1cuE,https://i.scdn.co/image/ab67616d0000b2737b6ae17633cbb6f9c1b5d4ac,2023-08-04,Jungeli,6L8y2rKomt32RmT4wfwZS7,217260,1,0.103,0.794,0.578,1.24e-05,0.363,-5.932,0,0.25,0.967,126.032,
Top 50 - France,I love you,2QcTf5lLMrrWTiElDInpTb,False,81,I love you,58fJZLZiBzdbcEEIxi3FC6,https://i.scdn.co/image/ab67616d0000b27324805a68fdded5f9cec3f69c,2023-12-08,Dadju,4sbXXFzEWJY2zsZjelerjX,238345,1,0.267,0.434,0.618,0.00061,0.102,-7.1,0,0.224,0.534,104.333,"french hip hop, pop urbaine, r&b francais"
Top 50 - France,Si No Estás,2HafqoJbgXdtjwCOvNEF14,False,95,Si No Estás,66k6EGkPtYoN44anGIsEPW,https://i.scdn.co/image/ab67616d0000b2735cb9531348f45311cd6fb8df,2022-09-23,iñigo quintero,0jbo7KFNMiIkfBR6ih0yhm,184061,5,0.827,0.537,0.421,0.0,0.138,-8.72,1,0.0285,0.524,98.224,
Top 50 - France,Temps en temps,2ZEzQtuXsSbFJrR9xhhiei,True,71,Frères Ennemis,1HLUjcUDDsszfj7OIl6LGh,https://i.scdn.co/image/ab67616d0000b273daa83e0ba4c6f8d7fa0fc7a5,2024-01-26,Zola,54kCbQZaZWHnwwj9VP2hn4,153653,6,0.125,0.934,0.815,1.95e-05,0.296,-4.37,1,0.157,0.886,127.974,"french hip hop, pop urbaine, r&b francais, rap francais"
Top 50 - France,FLASHBACK,2PWJx5FwMrMVEaTjwYait1,True,79,IL LE FALLAIT,33Hs5QPrPlpiDEWKhNfX2S,https://i.scdn.co/image/ab67616d0000b273bed20ca2a508148c3f8cffd8,2023-10-13,Favé,20JMfmzDb5cjHxEoMXXMyY,176120,6,0.39,0.762,0.564,0.0,0.0654,-6.934,0,0.088,0.744,141.938,"drill francais, rap francais"
Top 50 - France,Ça mène à rien,7GLtEcaxxQpdK63YsiG51g,True,75,Chambre 140 (Part.1),0VRRwExn96kc3L9BfYIF6s,https://i.scdn.co/image/ab67616d0000b2735f47f03829e4df052424712c,2024-01-18,PLK,3DCWeG2J1fZeu0Oe6i5Q6m,198773,0,0.139,0.791,0.558,0.0,0.0784,-9.328,1,0.21,0.805,145.889,"french hip hop, pop urbaine, rap conscient"
Top 50 - France,Faut pas,2cqtTAnI9E7buORFB9q4ts,True,68,Chambre 140 (Part.3),1WlS2GoDR8Bj0DaJ9QJhHT,https://i.scdn.co/image/ab67616d0000b273478b7d68b5755066144886e5,2024-02-01,PLK,3DCWeG2J1fZeu0Oe6i5Q6m,138933,11,0.0248,0.814,0.668,0.0,0.152,-6.474,1,0.299,0.716,135.979,"french hip hop, pop urbaine, rap conscient"
Top 50 - France,Il pleut à Paris,441auDLfimQNr0e1yz0KDU,True,72,Chambre 140 (Part.1),0VRRwExn96kc3L9BfYIF6s,https://i.scdn.co/image/ab67616d0000b2735f47f03829e4df052424712c,2024-01-18,PLK,3DCWeG2J1fZeu0Oe6i5Q6m,147373,1,0.537,0.705,0.458,0.000127,0.298,-11.588,0,0.246,0.459,89.68,"french hip hop, pop urbaine, rap conscient"
Top 50 - France,En mieux,2bOILaj684WoqEbpWTswdL,True,69,Chambre 140 (Part.2),7vrXUFuevPiXzR76uGPbBZ,https://i.scdn.co/image/ab67616d0000b273f23b69bf947e64f8b8e5f303,2024-01-25,PLK,3DCWeG2J1fZeu0Oe6i5Q6m,180933,5,0.369,0.549,0.473,0.0,0.104,-10.635,0,0.141,0.595,130.19,"french hip hop, pop urbaine, rap conscient"
Top 50 - France,Périph,65w1B0wLPnEICOfSl7C4Op,True,67,Chambre 140 (Part.1),0VRRwExn96kc3L9BfYIF6s,https://i.scdn.co/image/ab67616d0000b2735f47f03829e4df052424712c,2024-01-18,PLK,3DCWeG2J1fZeu0Oe6i5Q6m,168867,0,0.0529,0.827,0.621,0.0,0.0696,-6.492,1,0.506,0.666,117.366,"french hip hop, pop urbaine, rap conscient"
Top 50 - France,Lose Control,17phhZDn6oGtzMe56NuWvj,False,92,I've Tried Everything But Therapy (Part 1),7nacKlk586eLRBSIsrk9DB,https://i.scdn.co/image/ab67616d0000b2731a0323cc23419360a34a3ace,2023-09-15,Teddy Swims,33qOK5uJ8AR2xuQQAhHump,210689,9,0.199,0.561,0.604,1.9e-05,0.104,-4.409,1,0.0337,0.242,159.92,
Top 50 - France,Tu connais,3rIX5DA9rUk89KUOZdGFaN,True,71,Telegram 2,2tHT02WkJ4Fqas0cuwWHCk,https://i.scdn.co/image/ab67616d0000b2737fed909b45d0c711e00ef715,2023-09-21,Werenoi,3YBJLs7RqR0aPGBgU27nDh,169000,1,0.374,0.663,0.792,0.0,0.192,-4.483,0,0.147,0.684,151.975,"french hip hop, pop urbaine"
Top 50 - France,Chemin d'or,3rkyVQEgaDR5nZvW10QOrQ,True,77,Carré,4IoXKS2ihE2YnCpyBxcdCn,https://i.scdn.co/image/ab67616d0000b2739d74d3f0042968ea8f084acb,2023-03-10,Werenoi,3YBJLs7RqR0aPGBgU27nDh,212093,11,0.354,0.696,0.607,0.0,0.159,-6.72,0,0.152,0.392,91.452,"french hip hop, pop urbaine"
Top 50 - France,Laboratoire,24JrEVHDfohup0ypuOV7os,True,78,Carré,4IoXKS2ihE2YnCpyBxcdCn,https://i.scdn.co/image/ab67616d0000b2739d74d3f0042968ea8f084acb,2023-03-10,Werenoi,3YBJLs7RqR0aPGBgU27nDh,162840,5,0.463,0.801,0.604,0.00378,0.111,-6.525,0,0.21,0.534,125.024,"french hip hop, pop urbaine"
Top 50 - France,16.02.2024,0SkiGBVxYb9mXgRHA1en1S,True,30,16.02.2024,49FeqwMb91zT98HSGK2ezh,https://i.scdn.co/image/ab67616d0000b273c7b104cf1ca061d0c586acd6,2024-02-07,Werenoi,3YBJLs7RqR0aPGBgU27nDh,169128,4,0.123,0.801,0.726,0.000201,0.123,-6.036,0,0.208,0.585,79.994,"french hip hop, pop urbaine"
Top 50 - France,La League,38KQ5zKDeF3kUH18ZjzBbZ,True,76,La League,4eXYDLQHtqHHdpAhNIDXUZ,https://i.scdn.co/image/ab67616d0000b27348a9bc2fa970c5dd0484d642,2021-03-03,Werenoi,3YBJLs7RqR0aPGBgU27nDh,173428,4,0.873,0.819,0.675,0.00013,0.14,-7.198,0,0.137,0.542,104.095,"french hip hop, pop urbaine"
