playlist_name,music_name,music_id,music_explicit,music_popularity,album_name,album_id,album_image,album_release_date,artist_name,artist_id,music_duration,music_key,music_acousticness,music_danceability,music_energy,music_instrumentalness,music_liveness,music_loudness,music_mode,music_speechness,music_valence,music_tempo,artist_genres
Top 50 - Germany,Beautiful Things,6tNQ70jh4OwmPGpYy6R2o9,False,94,Beautiful Things,29aSKB1qPEbN0Qf9OPSQpw,https://i.scdn.co/image/ab67616d0000b273f2a919d3fa0f2b2593c92d19,2024-01-18,Benson Boone,22wbnEMDvgVIAGdFeek6ET,180304,10,0.151,0.472,0.471,0.0,0.14,-5.692,1,0.0603,0.219,105.029,singer-songwriter pop
Top 50 - Germany,Unwritten,3U5JVgI2x4rDyHGObzJfNf,False,92,Unwritten,3PEzTAuPW5IjLJ58FzwQeL,https://i.scdn.co/image/ab67616d0000b273b337e1ca6629a53c66a3b0d4,2004-08-30,Natasha Bedingfield,7o95ZoZt5ZYn31e9z1Hc0a,259333,5,0.00584,0.706,0.8,0.0,0.0822,-6.333,1,0.0399,0.629,100.011,"dance pop, pop, post-teen pop"
Top 50 - Germany,Vois sur ton chemin - Techno Mix,31nfdEooLEq7dn3UMcIeB5,False,90,Vois sur ton chemin (Techno Mix),79Cyc8GRWnLyjdJSMyJ0dB,https://i.scdn.co/image/ab67616d0000b2731b96e645016c4d431842aa93,2023-08-04,BENNETT,1r43wW70tnGUauQYvY5w48,178156,2,0.0908,0.634,0.824,0.0711,0.119,-3.394,0,0.047,0.371,137.959,hypertechno
Top 50 - Germany,greedy,3rUGC1vUpkDG9CZFHMur1t,True,100,greedy,3UOV8XvCwMKaATRNXrYCjN,https://i.scdn.co/image/ab67616d0000b27322fd802bc61db666c7c81aa8,2023-09-15,Tate McRae,45dkTj5sMRSjrmBSBeiHym,131872,6,0.256,0.75,0.733,0.0,0.114,-3.18,0,0.0319,0.844,111.018,"alt z, pop"
Top 50 - Germany,sonnenbank.mp3,30vg2QguPyaa7PcAJTn9YE,True,81,sonnenbank.mp3,5a5HgRDL50TK3pa2jv4Bnb,https://i.scdn.co/image/ab67616d0000b273316b74cb67aa730988ad5cab,2023-11-24,YAKARY,6cpOyiEibAAlRlUF4Kk3vI,122091,8,0.146,0.502,0.667,0.0,0.177,-6.161,1,0.35,0.693,170.58,german hip hop
Top 50 - Germany,LET'S GET FKD UP,0iB5f04XdJ2tcfhoVkeLV8,True,85,LET'S GET FKD UP (feat. Tribbs),1zz2cxnkEpgyLdSmoPBEjK,https://i.scdn.co/image/ab67616d0000b273c382591cc811c82caf497f13,2023-11-17,Alok,0NGAZxHanS9e0iNHpR8f2W,121500,10,0.00258,0.67,0.957,0.211,0.185,-5.43,1,0.0435,0.431,159.985,"electro house, pop nacional, slap house"
Top 50 - Germany,Lovin On Me,4xhsWYTOGcal8zt0J161CU,True,99,Lovin On Me,6VCO0fDBGbRW8mCEvV95af,https://i.scdn.co/image/ab67616d0000b273fcf4adae77baba5d0169e8e8,2023-11-10,Jack Harlow,2LIk90788K0zvyj2JJVwkJ,138411,2,0.0026,0.943,0.558,2.19e-06,0.0937,-4.911,1,0.0568,0.606,104.983,"deep underground hip hop, kentucky hip hop, pop rap, rap"
Top 50 - Germany,Für immer Frühling,3pn5z4CvMz95uEysWBUYCc,False,69,Für immer Frühling,5CiWnH7Pwp3re6czR6FLCN,https://i.scdn.co/image/ab67616d0000b273f1c76cdbc06cc04ae4d86e3f,2024-02-02,soffie,4zdZ6gGi9gBJZmCNun0Jhj,120000,0,0.264,0.664,0.589,0.0,0.619,-8.177,1,0.0394,0.646,140.016,
Top 50 - Germany,Prada,59NraMJsLaMCVtwXTSia8i,True,94,Prada,5MU0RmBSpoSxOPYBfcobDc,https://i.scdn.co/image/ab67616d0000b273e4b7dccdfd54375ded9ccc5c,2023-08-11,cassö,5wCmhq5J2hPwL2r0eKurxn,132359,8,0.001,0.638,0.717,1.79e-06,0.113,-5.804,1,0.0375,0.422,141.904,hypertechno
Top 50 - Germany,Overdrive (feat. Norma Jean Martine),3bK1zVFBKIzYjmptmI4NsJ,False,88,Overdrive (feat. Norma Jean Martine),2axYqSKAhWaN60ijTZ0XXg,https://i.scdn.co/image/ab67616d0000b273249f764814d57dc5dfc462c7,2023-10-06,Ofenbach,4AKwRarlmsUlLjIwt38NLw,155905,6,0.00257,0.611,0.757,0.0,0.058,-3.546,1,0.03,0.279,126.963,pop dance
Top 50 - Germany,Thank You (Not So Bad),09CnYHiZ5jGT1wr1TXJ9Zt,False,87,Thank You (Not So Bad),1J7XItLnNLegigdh4AjGKN,https://i.scdn.co/image/ab67616d0000b2730aa08f8923434aab06e43b37,2023-12-01,Dimitri Vegas & Like Mike,73jBynjsVtofjRpdpRAJGk,140000,11,0.0229,0.673,0.95,0.0823,0.398,-5.149,1,0.0488,0.563,150.019,"belgian dance, belgian edm, big room, dutch house, edm, electro house, pop dance, progressive electro house"
Top 50 - Germany,Lose Control,17phhZDn6oGtzMe56NuWvj,False,92,I've Tried Everything But Therapy (Part 1),7nacKlk586eLRBSIsrk9DB,https://i.scdn.co/image/ab67616d0000b2731a0323cc23419360a34a3ace,2023-09-15,Teddy Swims,33qOK5uJ8AR2xuQQAhHump,210689,9,0.199,0.561,0.604,1.9e-05,0.104,-4.409,1,0.0337,0.242,159.92,
Top 50 - Germany,Strangers,5mjYQaktjmjcMKcUIcqz4s,False,96,Strangers,18ogtNq9F7DmMkNYO6Xb4k,https://i.scdn.co/image/ab67616d0000b2734756c2e9ae436437cd75e9f3,2023-09-01,Kenya Grace,7uMDnSZyUYNBPLhPMNuaM2,172965,11,0.701,0.628,0.523,0.00274,0.219,-8.307,0,0.0946,0.416,169.982,singer-songwriter pop
Top 50 - Germany,Keine Homies,1ct7Hx3FQMfym8cHIk4hrd,False,76,Keine Homies,0zrF3gikDWhyetVFGqL8Du,https://i.scdn.co/image/ab67616d0000b2732d0e91110d9abf07042758f9,2024-01-19,CIVO,3pOnFT5MHIqIe9kcFCznZ8,122241,10,0.408,0.684,0.526,0.000124,0.221,-10.164,1,0.185,0.833,173.881,german hip hop
Top 50 - Germany,MONTENEGRO (feat. RAF Camora),0xuaMTaQFsfaLPuMoYUQoP,True,68,AKELA,2J4MQ5VDmWZ1P5ZPtfp3OI,https://i.scdn.co/image/ab67616d0000b273c791b85d77d67b3dcb9adf93,2024-02-02,Safraoui,1xlPEhjbFqhrDjaAvyvueX,176698,10,0.214,0.726,0.616,3.43e-06,0.12,-7.186,0,0.169,0.245,98.525,
Top 50 - Germany,BUSINESS STRAIGHT,5Cb7uEN2BM9t0Y5FjEq9ga,True,77,BUSINESS STRAIGHT,6zOaTkMG61UOgHnmbDat53,https://i.scdn.co/image/ab67616d0000b2730f9d477db2ea750cad49b4ce,2024-01-19,BILLA JOE,72y6W9pGy97xTM44dwy3F6,124877,2,0.197,0.778,0.805,4.63e-06,0.0828,-5.69,1,0.0725,0.653,102.049,
Top 50 - Germany,WONDERFUL LIFE,5Tpojb1ynbO0MgfAwgDza5,True,80,WONDERFUL LIFE,3dAGTCVoLXIZrBvgY2tsEB,https://i.scdn.co/image/ab67616d0000b2735b626279fb024dd6bbffb590,2023-12-29,Luciano,3CJKkU0XuElRT1z8rEtIYg,170551,11,0.123,0.786,0.66,0.00425,0.141,-6.746,0,0.127,0.65,136.072,"german drill, german hip hop"
Top 50 - Germany,What Happened,1KdLOxVGvRI5hChujmt1qr,False,72,What Happened,1WeXlr3ylgNYNGcgQWw2i6,https://i.scdn.co/image/ab67616d0000b273b2a22b360dce18d5e32653bd,2024-01-30,Luciano,3CJKkU0XuElRT1z8rEtIYg,147973,1,0.00748,0.871,0.459,0.00309,0.0806,-7.408,1,0.405,0.268,142.984,"german drill, german hip hop"
Top 50 - Germany,Blue Porsche (feat. Niska),3gOVMei7c4BD6oIfed24dc,False,76,Blue Porsche (feat. Niska),3cawKdKtM97thqBmQBuAnN,https://i.scdn.co/image/ab67616d0000b27318dfdae0ea8c7623c91db70b,2024-01-25,Luciano,3CJKkU0XuElRT1z8rEtIYg,186479,9,0.0041,0.866,0.685,8.71e-05,0.117,-5.472,0,0.245,0.478,155.997,"german drill, german hip hop"
Top 50 - Germany,Murder On The Dancefloor,4tKGFmENO69tZR9ahgZu48,False,94,Read My Lips,68ishLKwqH5oH79kUteEHG,https://i.scdn.co/image/ab67616d0000b273b736151ed1c04f2d41d5f69e,2002-06-06,Sophie Ellis-Bextor,2cBh5lVMg222FFuRU7EfDE,230013,1,0.00234,0.73,0.849,2.6e-05,0.312,-5.281,0,0.0299,0.887,117.31,"dance pop, europop, new wave pop"
Top 50 - Germany,Stumblin' In,0h3Xy4V4apMraB5NuM8U7Z,False,81,Stumblin' In,2HxzXLKO0AvkScWYHSspQc,https://i.scdn.co/image/ab67616d0000b27357732f3a97f6d356b547cf1e,2023-11-10,CYRIL,11kt6ggsdxvI8MhyeSMKom,213364,2,0.0638,0.875,0.518,0.00995,0.125,-8.388,1,0.0551,0.37,126.089,
Top 50 - Germany,Hässlich,3an1JVi8OsE0aG6dMS4Pes,False,78,Schwarzes Herz,0Xsdw4O63MRbnZn81z7Uws,https://i.scdn.co/image/ab67616d0000b2736305e51741ae5f4acda89fe2,2023-08-25,AYLIVA,2rEVnwCPBeGkWMv425KoG1,136360,9,0.12,0.914,0.489,0.0,0.0852,-7.722,1,0.0858,0.559,108.072,german pop
Top 50 - Germany,Ms. Jackson,3ilgxZl5g7MOQCUiky3VOG,False,78,Ms. Jackson,54ehmIjPv8SskzrJrNBGln,https://i.scdn.co/image/ab67616d0000b273fe4ea17c9ea3215eaf017d49,2023-08-24,Pashanim,34LetYSjEuG2fBb4Z8PwPg,147587,1,0.163,0.774,0.7,3.24e-05,0.169,-7.334,1,0.266,0.624,81.99,"german alternative rap, german drill, german hip hop"
Top 50 - Germany,MONEY ON THE DASH - SPED UP,086THPnabbu1zfDjRsxpoN,False,85,MONEY ON THE DASH,1nlaLDMPSzXL8G5LPBDhwd,https://i.scdn.co/image/ab67616d0000b273a33af2e78a60e270aa668f43,2023-01-20,Elley Duhé,67MNhiAICFY6Pwc2YxCO0K,116465,2,0.0324,0.777,0.816,7.94e-05,0.138,-7.01,0,0.189,0.516,150.09,alt z
Top 50 - Germany,Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),6WzRpISELf3YglGAh7TXcG,True,96,Popular (Music from the HBO Original Series),5O0zUvdnJr0RbWzLFneN2i,https://i.scdn.co/image/ab67616d0000b2734c8f092adc59b4bf4212389d,2023-06-02,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,215467,1,0.0569,0.855,0.678,3.69e-05,0.412,-6.276,1,0.189,0.852,99.029,"canadian contemporary r&b, canadian pop, pop"
Top 50 - Germany,"One Of The Girls (with JENNIE, Lily Rose Depp)",7CyPwkp0oE8Ro9Dd5CUDjW,False,98,The Idol Episode 4 (Music from the HBO Original Series),7tzVd1fwkxsorytCBjEJkU,https://i.scdn.co/image/ab67616d0000b273b0dd6a5cd1dec96c4119c262,2023-06-23,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,244685,8,0.0545,0.522,0.641,0.0,0.162,-6.287,1,0.0318,0.202,87.51,"canadian contemporary r&b, canadian pop, pop"
Top 50 - Germany,Liebe Grüsse,4mVnqNiw2Kf5AHj9j0KD6u,True,71,XV RR Edition,0Nopg4zcWmvHXHLHMosDSp,https://i.scdn.co/image/ab67616d0000b273485bb64f025af56e37618141,2023-09-08,RAF Camora,0Dvx6p8JDyzeOPGmaCIH1L,136988,9,0.179,0.796,0.865,0.0114,0.0852,-6.76,0,0.0801,0.768,130.012,german hip hop
Top 50 - Germany,À la Carte,4RzIPi5kcw5gYAd07I8NDz,False,77,À la Carte,3YMJFnqN6SU0F6fWNPhFvY,https://i.scdn.co/image/ab67616d0000b273ffcb8881005fd5386e3a0f03,2023-12-22,MADE,2EahEAOUPPXAcncTr8laCj,181017,11,0.211,0.784,0.52,2.61e-05,0.106,-9.535,0,0.0686,0.138,118.015,german hip hop
Top 50 - Germany,redrum,52eIcoLUM25zbQupAZYoFh,True,96,american dream,2RRYaYHY7fIIdvFlvgb5vq,https://i.scdn.co/image/ab67616d0000b273bbdceba2bf1867d4966d0347,2024-01-12,21 Savage,1URnnhqYAYcrqrcwql10ft,270698,2,0.00529,0.624,0.74,0.000224,0.5,-8.445,1,0.0481,0.246,172.089,"atl hip hop, hip hop, rap"
Top 50 - Germany,IN & OUT,1VgoFzUT9iofLfn3rHOI3z,True,77,IN & OUT,2IcOiv7iBqo6P5nL8qtLHu,https://i.scdn.co/image/ab67616d0000b273606bca62d8dfa3017d3b251d,2024-01-12,reezy,1ul8iLt2WnFe2UIyovjg7q,148434,11,0.342,0.573,0.563,0.0,0.123,-8.061,0,0.12,0.575,133.716,"german hip hop, german r&b"
Top 50 - Germany,Komet,7oQepKHmXDaPC3rgeLRvQu,False,78,Komet,2XWoQ5VUcmGYL1025mZ5dO,https://i.scdn.co/image/ab67616d0000b2738945d66b89a2fefd8e6b2181,2023-01-19,Udo Lindenberg,7iWcRnQMinCoV2u5ICgsW0,167357,7,0.285,0.55,0.5,0.0,0.116,-5.779,0,0.045,0.351,115.016,"german pop, german rock"
Top 50 - Germany,Mädchen auf dem Pferd,7AOJcugo17Kr1WUheSI6Oq,False,78,Mädchen auf dem Pferd,1nqgi8V3Ii96w1iofIcfcz,https://i.scdn.co/image/ab67616d0000b27346718115b2b40fc67115657f,2023-05-12,Luca-Dante Spadafora,6k9e4mFFVtEAAhGdvJBtqB,157059,0,0.108,0.837,0.944,8.46e-05,0.107,-6.516,1,0.352,0.681,169.975,hypertechno
Top 50 - Germany,Ich nehm dich bei der Hand (SimsalaGrimm),14iwJXnTuI9qdcosMEB73h,False,73,Ich nehm dich bei der Hand (SimsalaGrimm),2nP38OhbFaK5iCeGV8gEbP,https://i.scdn.co/image/ab67616d0000b273c7b99d00f9d2283133deb36f,2023-12-20,Luca-Dante Spadafora,6k9e4mFFVtEAAhGdvJBtqB,125032,11,0.343,0.72,0.796,0.000477,0.237,-7.272,1,0.427,0.296,155.051,hypertechno
