playlist_name,music_name,music_id,music_explicit,music_popularity,album_name,album_id,album_image,album_release_date,artist_name,artist_id,music_duration,music_key,music_acousticness,music_danceability,music_energy,music_instrumentalness,music_liveness,music_loudness,music_mode,music_speechness,music_valence,music_tempo,artist_genres
Top 50 - India,Pehle Bhi Main,7yDHHVKLbvDmVw1XXhDDIO,False,90,ANIMAL,0a183xiCHiC1GQd8ou7WXO,https://i.scdn.co/image/ab67616d0000b2735f3ede47954a93aa03efe5f9,2023-11-24,Vishal Mishra,5wJ1H6ud777odtZl5gG507,250158,10,0.768,0.413,0.406,2.22e-06,0.107,-10.23,0,0.0353,0.281,76.944,"desi pop, filmi, modern bollywood"
Top 50 - India,"Janiye (from the Netflix Film ""Chor Nikal Ke Bhaga"")",0645eBDehHcqfiF15hscQV,False,81,"Janiye (from the Netflix Film ""Chor Nikal Ke Bhaga"")",0kZKLq2WZQWvXvbxvK6YoC,https://i.scdn.co/image/ab67616d0000b2736624811ee1d8d7ccf5fadb80,2023-03-17,Vishal Mishra,5wJ1H6ud777odtZl5gG507,223390,8,0.44,0.578,0.444,0.0,0.146,-11.447,0,0.0644,0.36,76.032,"desi pop, filmi, modern bollywood"
Top 50 - India,Pahadon Mein,4mIFaN3SWgBJlLjnyAMeg4,False,77,Pahadon Mein,42EaMqAVeCVfHf11gVC25d,https://i.scdn.co/image/ab67616d0000b273fd66824502d6b3169a456a78,2024-01-17,Vishal Mishra,5wJ1H6ud777odtZl5gG507,231034,7,0.71,0.472,0.446,0.0,0.0921,-8.523,1,0.0289,0.421,77.74,"desi pop, filmi, modern bollywood"
Top 50 - India,Manjha,0UZLaEOSIc5kg0cc7eszqC,False,81,Manjha,1N9rGbn2M9lzU6YcJ6081E,https://i.scdn.co/image/ab67616d0000b273dea88e870d30a4da51065bf5,2020-03-17,Vishal Mishra,5wJ1H6ud777odtZl5gG507,191647,11,0.674,0.524,0.515,0.0,0.104,-7.478,0,0.0427,0.368,169.882,"desi pop, filmi, modern bollywood"
Top 50 - India,"Kaise Hua (From ""Kabir Singh"")",1y1rQTkWmrZdJmjwuK07GC,False,76,"Kaise Hua (From ""Kabir Singh"")",1ncyKqyZae6DoyjYaV9LmS,https://i.scdn.co/image/ab67616d0000b273ce1f4349305971b5beb75fcd,2019-06-13,Vishal Mishra,5wJ1H6ud777odtZl5gG507,234722,2,0.452,0.385,0.464,0.0,0.109,-6.975,1,0.0404,0.15,137.839,"desi pop, filmi, modern bollywood"
Top 50 - India,"Marham (Pehle Bhi Main) [From ""ANIMAL""]",1fGXJZny7HUQnLKwttxmYw,False,75,"Marham (Pehle Bhi Main) [From ""ANIMAL""]",4pfx72zSpnKIr6ADPN3htn,https://i.scdn.co/image/ab67616d0000b273c0f31d9e0726222a0cd699f3,2023-12-23,Vishal Mishra,5wJ1H6ud777odtZl5gG507,113265,1,0.93,0.407,0.186,0.0,0.0879,-9.031,1,0.0371,0.511,99.772,"desi pop, filmi, modern bollywood"
Top 50 - India,Husn,0TL0LFcwIBF5eX7arDIKxY,False,89,Husn,2SarxpD48O1DOiDIccyZ0W,https://i.scdn.co/image/ab67616d0000b2730d3449f333a83a25feb423f8,2023-12-01,Anuv Jain,4gdMJYnopf2nEUcanAwstx,217895,5,0.682,0.527,0.376,0.0,0.142,-9.974,1,0.0298,0.24,151.928,"desi pop, hindi indie, indian indie, indian singer-songwriter"
Top 50 - India,Alag Aasmaan,3bQsp4Vr9Rg4fNCx6HPOgX,False,79,Alag Aasmaan,3ggRRHH3VsmspGHzOl4v42,https://i.scdn.co/image/ab67616d0000b2735d7a296e99b415bc012c03e3,2020-07-31,Anuv Jain,4gdMJYnopf2nEUcanAwstx,212750,6,0.869,0.699,0.299,0.0,0.0724,-12.599,1,0.0403,0.459,118.968,"desi pop, hindi indie, indian indie, indian singer-songwriter"
Top 50 - India,"Satranga (From ""ANIMAL"")",3yHyiUDJdz02FZ6jfUbsmY,False,88,"Satranga (From ""ANIMAL"")",5mZX4EMwEyohNmVfLTDtXn,https://i.scdn.co/image/ab67616d0000b273021d7017f73387b008eab271,2023-10-27,Arijit Singh,4YRxDV8wJFPHPTeXepOstw,271169,0,0.735,0.273,0.405,0.0,0.189,-5.81,1,0.0298,0.534,89.48,"filmi, modern bollywood"
Top 50 - India,"Akhiyaan Gulaab (From ""Teri Baaton Mein Aisa Uljha Jiya"")",0M0ANKNzmM4Odd7FNKghzW,False,82,"Akhiyaan Gulaab (From ""Teri Baaton Mein Aisa Uljha Jiya"")",1VZDqgb1ALde0CFMIvEGNr,https://i.scdn.co/image/ab67616d0000b27352e3a807b72281cb40c08092,2024-01-19,Mitraz,3iGhlvzpXc0UHBQ7klAItX,171147,8,0.358,0.763,0.587,6.03e-06,0.13,-8.299,0,0.0381,0.794,106.977,desi pop
