playlist_name,music_name,music_id,music_explicit,music_popularity,album_name,album_id,album_image,album_release_date,artist_name,artist_id,music_duration,music_key,music_acousticness,music_danceability,music_energy,music_instrumentalness,music_liveness,music_loudness,music_mode,music_speechness,music_valence,music_tempo,artist_genres
Top 50 - Indonesia,penjaga hati,7F4tV8SiUy6itZTdAzdafO,False,88,penjaga hati,1IuORbF4Tb4X9EyAmIvx9a,https://i.scdn.co/image/ab67616d0000b2735c60335b52110564cbe57176,2023-06-21,Nadhif Basalamah,6UgERnTHmjk3qXM9x5vzyO,260346,2,0.879,0.509,0.359,0.0289,0.19,-8.993,1,0.0279,0.329,155.799,indonesian r&b
Top 50 - Indonesia,Karena Kamu,5UHnOvi0XFvwY8ege9DNdD,False,85,Meraih Bintang,4PO8qNb2v8Xef5ixuWZTRL,https://i.scdn.co/image/ab67616d0000b2736194aba3bf18c2198e3562ce,2011-01-03,Geisha,3txNoNUfBAHT1ZSGT2R30y,234547,0,0.174,0.605,0.708,0.0,0.112,-5.952,1,0.0294,0.709,124.04,"indonesian pop, indonesian pop rock"
Top 50 - Indonesia,"One Of The Girls (with JENNIE, Lily Rose Depp)",7CyPwkp0oE8Ro9Dd5CUDjW,False,98,The Idol Episode 4 (Music from the HBO Original Series),7tzVd1fwkxsorytCBjEJkU,https://i.scdn.co/image/ab67616d0000b273b0dd6a5cd1dec96c4119c262,2023-06-23,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,244685,8,0.0545,0.522,0.641,0.0,0.162,-6.287,1,0.0318,0.202,87.51,"canadian contemporary r&b, canadian pop, pop"
Top 50 - Indonesia,Starboy,7MXVkk9YMctZqd1Srtv4MB,True,95,Starboy,2ODvWsOgouMbaA5xf0RkJe,https://i.scdn.co/image/ab67616d0000b2734718e2b124f79258be7bc452,2016-11-25,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,230453,7,0.141,0.679,0.587,6.35e-06,0.137,-7.015,1,0.276,0.486,186.003,"canadian contemporary r&b, canadian pop, pop"
Top 50 - Indonesia,My Love Mine All Mine,3vkCueOmm7xQDoJ17W1Pm3,False,99,The Land Is Inhospitable and So Are We,2Cn1d2KgbkAqbZCJ1RzdkA,https://i.scdn.co/image/ab67616d0000b27334f21d3047d85440dfa37f10,2023-09-15,Mitski,2uYWxilOVlUdk4oV9DvwqK,137773,9,0.868,0.504,0.308,0.135,0.158,-14.958,1,0.0321,0.121,113.95,"brooklyn indie, pov: indie"
Top 50 - Indonesia,Tak Segampang Itu,26cvTWJq2E1QqN4jyH2OTU,False,84,Tak Segampang Itu,6gO5mDyNTqiIqHItRil4OG,https://i.scdn.co/image/ab67616d0000b2732844c4e4e984ea408ab7fd6f,2022-12-02,Anggi Marito,1JvbNeV9zG9Sew1JyaWsyx,231100,5,0.759,0.506,0.438,8.64e-06,0.109,-7.069,1,0.0268,0.178,129.538,indonesian pop
Top 50 - Indonesia,Tapi Tahukah Kamu?,4SW9fIXaX6OxJhm9gspkDG,False,82,Tapi Tahukah Kamu?,2MMTMsyPfgyDewVRuYY9TH,https://i.scdn.co/image/ab67616d0000b2734ea5fd6aa7f4970a1354c8cf,2023-09-01,Dygta,0LivMD6P6pi2yfZf1rIAat,251600,1,0.734,0.5,0.467,0.00031,0.104,-7.514,1,0.026,0.287,143.974,"indonesian pop, indonesian pop rock"
Top 50 - Indonesia,Tak Dianggap,2lMQOAKPam2JVEfNsZtWDe,False,83,Tak Dianggap,4gLQxElbTHU36TbmckWS0j,https://i.scdn.co/image/ab67616d0000b273ca3cda6e80ce9df0f98de7cb,2023-08-17,Lyodra,6Sv2jkzH9sWQjwghW5ArMG,179841,2,0.802,0.614,0.438,0.0,0.213,-5.737,1,0.0433,0.302,126.0,indonesian pop
Top 50 - Indonesia,Pesan Terakhir,3FwQ3RYYEekzjEeL3jdpUZ,False,81,Lyodra,20nf5isZzrFuEOr0tIZkWG,https://i.scdn.co/image/ab67616d0000b273d00e5994b61f1d93dafe9221,2021-07-16,Lyodra,6Sv2jkzH9sWQjwghW5ArMG,261300,2,0.432,0.522,0.357,3.31e-06,0.094,-8.579,1,0.0299,0.14,120.049,indonesian pop
Top 50 - Indonesia,Cinderella,3nWlfhNCcDhAxlsHmcggEG,False,80,Langkah Baru,6wms9n1gWJVTXIzXL0SzIR,https://i.scdn.co/image/ab67616d0000b273c510878448e2867f46d3e57b,2005-09-16,Radja,2f1AZeW1r6TUVLagZaRXO5,212138,4,4.5e-05,0.481,0.876,0.0,0.108,-7.461,0,0.0467,0.606,171.973,"dangdut, indonesian pop rock"
Top 50 - Indonesia,Tanpa Pesan Terakhir,4v9JJX3ZzuFFOKrMOYHTVZ,False,83,Dunia Yang Indah,0PAFGgXB2GM6llY8ZfzoW5,https://i.scdn.co/image/ab67616d0000b273687ee7cccc410bb76f8bad42,2010-01-01,Seventeen,5uUb3J6HqLhBWwzuh84LUZ,289280,4,0.231,0.46,0.72,5.43e-05,0.228,-4.062,1,0.0322,0.426,134.965,indonesian pop rock
Top 50 - Indonesia,Yang Tlah Merelakanmu,7zcmeZ4Xt54ICq90anFSXq,False,80,Dunia Yang Indah,0PAFGgXB2GM6llY8ZfzoW5,https://i.scdn.co/image/ab67616d0000b273687ee7cccc410bb76f8bad42,2010-01-01,Seventeen,5uUb3J6HqLhBWwzuh84LUZ,293480,2,0.0603,0.446,0.686,0.0,0.0819,-3.942,1,0.0267,0.383,143.912,indonesian pop rock
Top 50 - Indonesia,drunk text,0KpWiHVmIFDTvai20likX4,False,82,drunk text,0lcfkucXPJH7zGSHbUXUjZ,https://i.scdn.co/image/ab67616d0000b27338876c52ff708856ae680d7e,2023-01-26,Henry Moodie,7hr9W3IjXcm3UlLY7guLk5,187263,0,0.286,0.382,0.401,0.0,0.0851,-8.955,1,0.0851,0.145,185.636,singer-songwriter pop
Top 50 - Indonesia,Rewrite The Stars (with James Arthur & Anne-Marie),6mQLN3zRtAp6ovjusyYKrV,False,84,Rewrite The Stars (with James Arthur & Anne-Marie),4i7GEsKuuCtECD5l0VUctL,https://i.scdn.co/image/ab67616d0000b273fdcd66dc526a25e1555ae81d,2018-10-25,James Arthur,4IWBUUAFIplrNtaOHcJPRM,218293,10,0.237,0.67,0.743,0.0,0.465,-4.993,1,0.0393,0.571,125.944,"pop, talent show, uk pop"
Top 50 - Indonesia,Car's Outside,0otRX6Z89qKkHkQ9OqJpKt,False,88,YOU,0cm9LOQUBK3JUgyoRj238z,https://i.scdn.co/image/ab67616d0000b273dc16d839ab77c64bdbeb3660,2019-10-18,James Arthur,4IWBUUAFIplrNtaOHcJPRM,248373,9,0.039,0.338,0.562,0.0,0.107,-7.181,1,0.029,0.259,149.907,"pop, talent show, uk pop"
Top 50 - Indonesia,Bunga Hati,4AfhlJghKIWkXa8sfFEXVd,False,84,Bunga Hati,4F4XK6lkrHveOTKSGMeGF4,https://i.scdn.co/image/ab67616d0000b2730ef3b75335498ec122820b26,2023-11-16,Salma Salsabil,1y46m0kIaKwnodL0ElvQIs,173720,6,0.68,0.518,0.679,1.21e-06,0.102,-5.372,0,0.046,0.423,93.118,
