playlist_name,music_name,music_id,music_explicit,music_popularity,album_name,album_id,album_image,album_release_date,artist_name,artist_id,music_duration,music_key,music_acousticness,music_danceability,music_energy,music_instrumentalness,music_liveness,music_loudness,music_mode,music_speechness,music_valence,music_tempo,artist_genres
Top 50 - Italy,"I P’ ME, TU P’ TE",3j1453KrdHjw7y4gnBj7nF,False,73,"I P’ ME, TU P’ TE",09DwcnxasBOzPGqVXJPF13,https://i.scdn.co/image/ab67616d0000b2736160e0b4c4bb1bd00add6c60,2024-02-07,Geolier,27LlKWxS3KXW7RRAxN5S8s,187881,9,0.115,0.639,0.767,0.0,0.0689,-5.988,0,0.215,0.469,118.055,"italian hip hop, italian pop, rap napoletano, trap italiana"
Top 50 - Italy,COME VUOI,5x9LonDyHxGUO2VzfHJHLE,True,76,IL CORAGGIO DEI BAMBINI,5FAlSQMZ4j8pPa4sp0ZB4K,https://i.scdn.co/image/ab67616d0000b273a43bc8d38cdecdb7a71b34a6,2023-01-06,Geolier,27LlKWxS3KXW7RRAxN5S8s,172615,8,0.13,0.756,0.631,0.0,0.0649,-5.297,0,0.0502,0.896,130.052,"italian hip hop, italian pop, rap napoletano, trap italiana"
Top 50 - Italy,IL MALE CHE MI FAI (feat. Marracash),7Da5kjy5GByLHE5OPQ4tpg,False,74,IL CORAGGIO DEI BAMBINI - ATTO II,0aGXQkS5LTFhYswwXJ8vJ6,https://i.scdn.co/image/ab67616d0000b273afd999e92d692ad962b9c556,2023-04-07,Geolier,27LlKWxS3KXW7RRAxN5S8s,167339,6,0.141,0.735,0.798,0.0,0.0991,-7.157,0,0.122,0.51,109.044,"italian hip hop, italian pop, rap napoletano, trap italiana"
Top 50 - Italy,Sinceramente,2O7jON0xYyTaSkWj9wZXCJ,False,72,Sinceramente,6Ftqr86cfGFu8mQ0Vt2jse,https://i.scdn.co/image/ab67616d0000b27351ee37411182665987658c03,2024-02-07,Annalisa,0EqkKYDK9EkKY5N7zU3FPv,215714,3,0.036,0.73,0.803,0.0,0.14,-3.056,0,0.04,0.406,126.049,"italian adult pop, italian pop"
Top 50 - Italy,TUTA GOLD,654Jxp6rUFgPckixlIusRJ,False,71,TUTA GOLD,298TPucavaqMuiInBsW7jX,https://i.scdn.co/image/ab67616d0000b27322aa3408a990edf3bdabd676,2024-02-07,Mahmood,06nvjg4wBANK6DCHjqtPNd,178468,9,0.624,0.746,0.742,0.000848,0.151,-6.837,0,0.0473,0.77,123.052,"italian adult pop, italian pop"
Top 50 - Italy,La noia,49R1F3rIdSzuPk7AcHi6d1,False,71,La noia,3thPAnMavUmX8gGyjOzYFI,https://i.scdn.co/image/ab67616d0000b2734048a22d11b5873fe7c56dc4,2024-02-07,Angelina Mango,1A6HBLulvBFzNtlMb7b08f,189125,2,0.131,0.68,0.871,4.85e-05,0.056,-3.349,0,0.0851,0.677,112.094,italian pop
Top 50 - Italy,Tu No,5mQTzYTDDob48mOP3U9k7Q,False,70,Tu No,73tk3YTX5XnmuZtUwcIPED,https://i.scdn.co/image/ab67616d0000b273b746477be227e64ad02c894b,2024-02-07,Irama,5iot8OPcosJN9nCl7I5SdK,215609,3,0.326,0.583,0.628,0.0,0.199,-5.143,1,0.0346,0.355,122.002,"italian adult pop, italian pop"
Top 50 - Italy,Tutto Qui,2cpZJsQFxwHvBF0KB5dCaB,False,69,Tutto Qui,7c4WZWTbWCodNxtex7owQN,https://i.scdn.co/image/ab67616d0000b2736050d18ee430aeb069589a27,2024-02-07,Gazzelle,7KFOc3T4Xo8DVZt4PWw2qN,211784,8,0.714,0.554,0.531,0.0,0.0932,-6.987,1,0.0268,0.356,74.967,"italian adult pop, italian pop, rome indie"
Top 50 - Italy,UN RAGAZZO UNA RAGAZZA,60NDVF7fFIq13aO9rIN80c,False,68,UN RAGAZZO UNA RAGAZZA,3tNnKTFodG4lOLiGM39yvV,https://i.scdn.co/image/ab67616d0000b2730f678541a1b613a82476db58,2024-02-07,The Kolors,72A0Z8q8NiochyK9gUHpCR,217031,3,0.0451,0.753,0.859,0.0,0.119,-3.071,0,0.0796,0.921,128.0,"italian adult pop, italian pop"
Top 50 - Italy,DUE ALTALENE,6m4z69VDQ7zB2JQzTeWNom,False,68,DUE ALTALENE,7EylvV3blFKLH2ZQDW6CWl,https://i.scdn.co/image/ab67616d0000b2734428a259fc2fcc5e105deafa,2024-02-07,Mr.Rain,59MLbXG0jLVwJup3KAd6m1,197143,10,0.467,0.38,0.564,4.25e-05,0.542,-7.373,1,0.0606,0.399,139.79,"italian adult pop, italian pop"
Top 50 - Italy,Casa Mia,4cWrKV5SN7AknqPy4ryBDG,False,68,Casa Mia,4xFy5R5epCv3JQj92m7lHJ,https://i.scdn.co/image/ab67616d0000b273933392412e7443f3a4cb2775,2024-02-07,Ghali,3egWSWp7Y4FyCKIyvXbw7L,210542,9,0.013,0.728,0.889,1.11e-05,0.363,-3.518,0,0.047,0.624,119.952,"italian hip hop, italian pop, milan indie"
Top 50 - Italy,APNEA,1F2rElyIiwgnq3TM2LN3ag,False,12,SOUVENIR,1kR8WkIVdTVt0Bec7ccDvj,https://i.scdn.co/image/ab67616d0000b2732ce7ce07b8f04f471ff5c34f,2023-10-12,Emma,0gzwXezN4IUHAwLufA6YcX,180923,0,0.0679,0.63,0.863,0.0,0.13,-4.407,0,0.323,0.553,130.244,"italian adult pop, italian pop"
Top 50 - Italy,Pazza,1MwyUklCSLF8heoph2ttFe,False,67,Pazza,3IGUYanHxdk5DX7aB8e3lv,https://i.scdn.co/image/ab67616d0000b273fe50e39d6ae0cceb7f4a4cea,2024-02-07,Loredana Bertè,2XpUprTohaksHpVjUtTvlx,168167,0,0.00344,0.703,0.894,0.0,0.335,-3.846,1,0.0816,0.665,119.999,"classic italian pop, italian adult pop, italian pop"
Top 50 - Italy,Fino a qui,37WCMrX9XnmmPCMY0aqZjo,False,67,Fino a qui,0d5uLpu4Tkh54AjZgztd7L,https://i.scdn.co/image/ab67616d0000b2732b928b0cd38a8e48db4ef39d,2024-02-07,Alessandra Amoroso,2pjb5ffSoVTr5lRYQXlnPu,232310,8,0.249,0.605,0.546,0.0,0.0899,-5.52,1,0.0369,0.224,130.065,"italian adult pop, italian pop"
Top 50 - Italy,Vai!,02fHDy3xEetr1EX6qw3Cas,False,67,Vai!,78oiHnbmYm8jUidFHcAeWL,https://i.scdn.co/image/ab67616d0000b273aa93c622eb3c16e46bceeb88,2024-02-07,Alfa,7GacyaFUp0qkEJglERX9N7,156923,2,0.158,0.605,0.796,0.0,0.132,-5.128,1,0.0633,0.526,116.977,pop virale italiano
Top 50 - Italy,CLICK BOOM!,2PO4ThUKzIa4rBLsFkyInU,False,66,CLICK BOOM!,6PBnYwtMjAW4XqVRs9Il2l,https://i.scdn.co/image/ab67616d0000b273eaab7c686146f0d53f233139,2024-02-07,Rose Villain,2aya6KuqjXEhHBqYKsTPLs,225561,5,0.535,0.774,0.681,0.0,0.0997,-4.452,1,0.0433,0.432,126.025,"italian hip hop, italian pop, milan indie"
Top 50 - Italy,AUTODISTRUTTIVO,3ZcpVnBJguv1WVeMG44i2M,False,66,AUTODISTRUTTIVO,1M06XJqOcsMo0kCroZzl0q,https://i.scdn.co/image/ab67616d0000b2734630d4228903642e74d901ee,2024-02-07,LA SAD,1y5nSaw0Am7fIEDAkrfgjY,189495,8,0.0529,0.488,0.774,0.0,0.198,-6.099,1,0.0408,0.614,154.954,
Top 50 - Italy,Onda Alta,5rmWxr4qgejVuLWwxNzISC,True,25,Ciao America,2k5f61zin5MPVPJUMsFbsY,https://i.scdn.co/image/ab67616d0000b27310e29a478b208591af7bf65e,2024-02-02,Dargen D'Amico,7muPB2GhV0sEg2K1Fgj0Xm,214557,7,0.274,0.473,0.807,0.0,0.35,-5.506,1,0.201,0.582,157.954,"italian adult pop, italian hip hop, italian pop, milan indie, r&b italiano"
Top 50 - Italy,FRAGILI,6mhZd9yNJpyT2Qynx9FuhI,False,66,FRAGILI,3hNEfoTFpxiA1Car8tVdy5,https://i.scdn.co/image/ab67616d0000b273e15c8e94fe145b5655543cba,2024-02-07,Il Tre,4p5IspnsqtILeRtckOxumu,189194,9,0.163,0.495,0.777,0.0,0.0542,-5.384,1,0.063,0.658,124.038,"italian hip hop, italian pop"
Top 50 - Italy,DIAMANTI GREZZI,3To8zpX92dTdhtORefjgyV,False,65,DIAMANTI GREZZI,11KJdw9RyMJwFABzPBaALV,https://i.scdn.co/image/ab67616d0000b273775c7d60cf2c38c3fd137a02,2024-02-07,CLARA,6FPxOArEPVZUDv925qq8IQ,192120,4,0.147,0.61,0.861,0.0,0.0995,-3.36,0,0.0561,0.263,124.938,
Top 50 - Italy,Ricominciamo tutto,6RgeK0h4fZ7JRSqbVwPG3Q,True,65,Ricominciamo tutto,6zIb3GEDysif4sWOALb5E4,https://i.scdn.co/image/ab67616d0000b2732aede93810d7ee920c897305,2024-02-07,Negramaro,1X9iZlQXfAAx4Vvmlqeao7,232800,4,0.0554,0.516,0.686,0.0,0.118,-4.997,1,0.05,0.259,124.661,"italian adult pop, italian pop"
