playlist_name,music_name,music_id,music_explicit,music_popularity,album_name,album_id,album_image,album_release_date,artist_name,artist_id,music_duration,music_key,music_acousticness,music_danceability,music_energy,music_instrumentalness,music_liveness,music_loudness,music_mode,music_speechness,music_valence,music_tempo,artist_genres
Top 50 - Japan,Bling-Bang-Bang-Born,0kdqcbwei4MDWFEX5f33yG,False,91,Bling-Bang-Bang-Born,6M2PMiBa5zM37GQChwBHA6,https://i.scdn.co/image/ab67616d0000b2733f6de9c0ca2148edf20daa6b,2024-01-07,Creepy Nuts,0pWR7TsFhvSCnbmHDjWgrE,168136,6,0.0841,0.853,0.822,0.00985,0.166,-6.836,0,0.246,0.746,157.013,"j-pop, j-rock"
Top 50 - Japan,晩餐歌,2cxcqKwQtfKq7giphxjzOu,False,80,晩餐歌,0i4V6w1zpf6CFXSS67cyfQ,https://i.scdn.co/image/ab67616d0000b27355e029fef14405c5d536453b,2023-09-29,tuki.,1Y5vJqABeI6QI6R95EDV6o,215853,8,0.433,0.649,0.641,0.0,0.11,-4.665,1,0.0251,0.63,102.983,
Top 50 - Japan,アイドル,1hAloWiinXLPQUJxrJReb1,False,80,THE BOOK 3,68w73FF3dYC6C3RWdcV0Yl,https://i.scdn.co/image/ab67616d0000b273f3527c2e1ffc2e99bb6a072e,2023-10-04,YOASOBI,64tJ2EAv1R6UaZqc4iOCyj,211733,10,0.105,0.457,0.941,1.38e-06,0.437,-2.692,0,0.0917,0.876,165.783,"j-pop, japanese teen pop"
Top 50 - Japan,勇者,0YTM7bCx451c6LQbkddy4Q,False,77,THE BOOK 3,68w73FF3dYC6C3RWdcV0Yl,https://i.scdn.co/image/ab67616d0000b273f3527c2e1ffc2e99bb6a072e,2023-10-04,YOASOBI,64tJ2EAv1R6UaZqc4iOCyj,194267,5,0.0351,0.655,0.907,1.37e-05,0.15,-3.868,1,0.0488,0.506,103.968,"j-pop, japanese teen pop"
Top 50 - Japan,群青,1zd35Y44Blc1CwwVbW3Qnk,False,77,THE BOOK,1xhO0GSoezdPJcSuNe1ySv,https://i.scdn.co/image/ab67616d0000b273684d81c9356531f2a456b1c1,2021-01-06,YOASOBI,64tJ2EAv1R6UaZqc4iOCyj,248027,10,0.305,0.725,0.853,0.0,0.115,-3.193,1,0.0516,0.707,134.991,"j-pop, japanese teen pop"
Top 50 - Japan,祝福,1VoTe7qVyqyMNLgZpQeugO,False,76,THE BOOK 3,68w73FF3dYC6C3RWdcV0Yl,https://i.scdn.co/image/ab67616d0000b273f3527c2e1ffc2e99bb6a072e,2023-10-04,YOASOBI,64tJ2EAv1R6UaZqc4iOCyj,192400,4,0.0142,0.543,0.965,5.83e-05,0.366,-2.727,0,0.0905,0.646,170.051,"j-pop, japanese teen pop"
Top 50 - Japan,ナハトムジーク,7sditHCsoFw3nHnjFv1BHV,False,77,ナハトムジーク,3ciQ76hHbqu2syaDi0QPti,https://i.scdn.co/image/ab67616d0000b273fa4883b48bca09df940e982d,2024-01-16,Mrs. GREEN APPLE,4QvgGvpgzgyUOo8Yp8LDm9,262984,8,0.0896,0.479,0.641,0.0,0.0666,-5.31,1,0.0415,0.275,146.354,"anime rock, j-pop, j-rock"
Top 50 - Japan,ケセラセラ,0teqQ0PYqVDyyXJuPOyMhu,False,77,ANTENNA,3j7aiYai9ezbvxVCgrd2mb,https://i.scdn.co/image/ab67616d0000b273d482c602732da71e7cdf04c3,2023-07-04,Mrs. GREEN APPLE,4QvgGvpgzgyUOo8Yp8LDm9,272227,6,0.0306,0.756,0.578,0.0,0.0534,-4.575,0,0.0327,0.677,115.004,"anime rock, j-pop, j-rock"
Top 50 - Japan,Magic,170XOP1T4MvY9TLTgPw07D,False,77,ANTENNA,3j7aiYai9ezbvxVCgrd2mb,https://i.scdn.co/image/ab67616d0000b273d482c602732da71e7cdf04c3,2023-07-04,Mrs. GREEN APPLE,4QvgGvpgzgyUOo8Yp8LDm9,263107,7,0.0604,0.671,0.758,0.0,0.332,-3.793,1,0.0474,0.537,117.51,"anime rock, j-pop, j-rock"
Top 50 - Japan,ダンスホール,5LkmpgQYtwHtuvASgnLBe1,False,53,Inferno & More Hits,6S3xkUk67SSNzWhGDoKyt5,https://i.scdn.co/image/ab67616d0000b273602183cdf7a9c548c722272d,2023-12-01,Mrs. GREEN APPLE,4QvgGvpgzgyUOo8Yp8LDm9,203150,7,0.0209,0.736,0.695,0.0,0.0517,-3.87,1,0.0468,0.784,109.976,"anime rock, j-pop, j-rock"
Top 50 - Japan,Soranji,3YML5IHoqWbw9c9vJJvrvM,False,75,ANTENNA,3j7aiYai9ezbvxVCgrd2mb,https://i.scdn.co/image/ab67616d0000b273d482c602732da71e7cdf04c3,2023-07-04,Mrs. GREEN APPLE,4QvgGvpgzgyUOo8Yp8LDm9,343253,5,0.0693,0.48,0.669,0.0,0.149,-5.168,1,0.0431,0.378,155.89,"anime rock, j-pop, j-rock"
Top 50 - Japan,青と夏,5BC6kr6etk2Y9J62AyI4i3,False,75,Attitude,3bRSI9DOQA2KdJ7t6zdW0V,https://i.scdn.co/image/ab67616d0000b27381f55cd879e9480e3ed313df,2019-10-01,Mrs. GREEN APPLE,4QvgGvpgzgyUOo8Yp8LDm9,270027,4,0.00157,0.31,0.891,0.0,0.284,-1.66,1,0.0469,0.748,184.886,"anime rock, j-pop, j-rock"
Top 50 - Japan,春愁,0OeTb9sIQTNq313HQHv9TM,False,45,Inferno & More Hits,6S3xkUk67SSNzWhGDoKyt5,https://i.scdn.co/image/ab67616d0000b273602183cdf7a9c548c722272d,2023-12-01,Mrs. GREEN APPLE,4QvgGvpgzgyUOo8Yp8LDm9,183800,10,0.0121,0.719,0.436,0.0,0.123,-4.903,1,0.0401,0.748,130.016,"anime rock, j-pop, j-rock"
Top 50 - Japan,点描の唄,7Md0Rk4s9khBtVpSD03bWl,False,44,Inferno & More Hits,6S3xkUk67SSNzWhGDoKyt5,https://i.scdn.co/image/ab67616d0000b273602183cdf7a9c548c722272d,2023-12-01,Mrs. GREEN APPLE,4QvgGvpgzgyUOo8Yp8LDm9,307120,0,0.447,0.53,0.628,0.0,0.0963,-4.641,1,0.0253,0.297,76.055,"anime rock, j-pop, j-rock"
Top 50 - Japan,インフェルノ,2vOAHp8PBBFYqvQUWSoITY,False,76,Attitude,3bRSI9DOQA2KdJ7t6zdW0V,https://i.scdn.co/image/ab67616d0000b27381f55cd879e9480e3ed313df,2019-10-01,Mrs. GREEN APPLE,4QvgGvpgzgyUOo8Yp8LDm9,211600,4,0.00894,0.533,0.918,0.0,0.643,-2.095,1,0.0616,0.662,92.504,"anime rock, j-pop, j-rock"
Top 50 - Japan,唱,7o0TPSw494RG2Q4iWmd1v6,False,44,"Ado ""Ready For My Show Playlist""",31LvSRXGPVhYs2EZFK0BEU,https://i.scdn.co/image/ab67616d0000b273f29faf5699c2f7eb7970a290,2024-02-06,Ado,6mEQK9m2krja6X1cfsAjfl,189773,10,0.172,0.616,0.975,1.62e-06,0.143,-0.425,0,0.208,0.742,132.054,"j-pop, japanese teen pop"
Top 50 - Japan,冬と春,6nIoYpfSvie3Ln46dyi8FC,False,73,冬と春,58cT2BXPIvkR4kFP4b6xaN,https://i.scdn.co/image/ab67616d0000b2733c04a13810ce00e76513409a,2024-01-24,back number,6rs1KAoQnFalSqSU4LTh8g,256787,3,0.0407,0.47,0.768,0.0,0.352,-4.039,1,0.0403,0.522,152.105,"j-pop, j-rock"
Top 50 - Japan,水平線,3RvdkNMcSy71m0aT6UF9Uf,False,74,ユーモア,4Owee1i5rIFJvQczZXSdiQ,https://i.scdn.co/image/ab67616d0000b273fd363d834b815375814ae78e,2023-01-17,back number,6rs1KAoQnFalSqSU4LTh8g,288013,10,0.0103,0.424,0.761,0.0,0.145,-3.526,1,0.0305,0.424,145.816,"j-pop, j-rock"
