playlist_name,music_name,music_id,music_explicit,music_popularity,album_name,album_id,album_image,album_release_date,artist_name,artist_id,music_duration,music_key,music_acousticness,music_danceability,music_energy,music_instrumentalness,music_liveness,music_loudness,music_mode,music_speechness,music_valence,music_tempo,artist_genres
Top 50 - Mexico,La Diabla,0R6NfOiLzLj4O5VbYSJAjf,False,99,La Diabla,2IoSjweCu07y9mv5H1Cj3v,https://i.scdn.co/image/ab67616d0000b2731501c770de50a22b25d67611,2023-11-30,Xavi,3Me35AWHCGqW4sZ7bWWJt1,172264,11,0.255,0.751,0.819,0.0,0.236,-4.372,0,0.0409,0.697,131.842,sad sierreno
Top 50 - Mexico,La Víctima,5XVdHRf4CAJ2Jm0uMIy5qY,True,96,La Víctima,30KJEN3ICjhYsZ1NgunRCr,https://i.scdn.co/image/ab67616d0000b2730e8dc9720dd03d86627fa54b,2023-08-17,Xavi,3Me35AWHCGqW4sZ7bWWJt1,156346,11,0.152,0.778,0.835,0.0,0.109,-3.598,0,0.0767,0.666,140.082,sad sierreno
Top 50 - Mexico,Poco A Poco,4loIMejzvt11s97SGVEat8,False,91,Poco A Poco,0Xc7skil4XnM9I2bzAtqgl,https://i.scdn.co/image/ab67616d0000b273b79bb48c27ca9d10b784a52d,2023-09-21,Xavi,3Me35AWHCGqW4sZ7bWWJt1,156040,4,0.426,0.779,0.88,0.0,0.0691,-2.212,0,0.065,0.732,140.282,sad sierreno
Top 50 - Mexico,Modo DND,1TEKUj8c5iyRNUUxo9SdSD,True,90,Modo DND,0HkgYr2M6KeK2dWgIJE6AC,https://i.scdn.co/image/ab67616d0000b2738ba8f8c74b28ef7f25ae554a,2023-10-26,Xavi,3Me35AWHCGqW4sZ7bWWJt1,220298,4,0.182,0.756,0.812,0.0,0.227,-3.483,0,0.0538,0.571,134.887,sad sierreno
Top 50 - Mexico,Sin Pagar Renta,2NQZVzSRRatbbPWD5IfadH,False,87,Sin Pagar Renta,6THFGUOwWMPRb6x58aVpDZ,https://i.scdn.co/image/ab67616d0000b2732ae1bf089ccd566ac123a2f6,2023-07-06,Xavi,3Me35AWHCGqW4sZ7bWWJt1,193022,0,0.157,0.554,0.763,0.0,0.0968,-6.116,0,0.0711,0.224,164.944,sad sierreno
Top 50 - Mexico,Igual Que Un Ángel (with Peso Pluma),6XaJfhwof7qIgbbXO5tIQI,False,95,ORQUÍDEAS,5U20AVSsUvycGtWip4XQfo,https://i.scdn.co/image/ab67616d0000b2736b291990c6ae00ab2fe5bfcc,2024-01-12,Kali Uchis,1U1el3k54VvEUzo3ybLPlM,260371,5,0.00348,0.685,0.61,0.00054,0.183,-5.36,0,0.0343,0.464,107.999,colombian pop
Top 50 - Mexico,FIRST LOVE,3QQAeMQbbjZXVFbF8DgFWT,False,91,FIRST LOVE,4NNAc6EF4agYuWUqZ5OZr0,https://i.scdn.co/image/ab67616d0000b273e47439187384e475312992b9,2023-12-07,Oscar Ortiz,0FvHxb8a4I0A2i8jKCsFei,169440,2,0.358,0.694,0.588,0.0,0.299,-6.24,1,0.0565,0.794,73.929,
Top 50 - Mexico,Que Onda,6uIIdjYTxxpWOyWuVXrKQO,True,94,Que Onda,4x6cjOcVz44aiLSOHCLKPd,https://i.scdn.co/image/ab67616d0000b273c8fd4190e32eed2dfcd00f66,2023-08-30,Calle 24,6dLuQ5qXxIuWc5urxfIiZR,191467,10,0.183,0.808,0.944,1.11e-06,0.138,-4.863,0,0.0408,0.937,124.934,"corrido, corridos tumbados, sad sierreno, sierreno"
Top 50 - Mexico,Apaga El Cel,1sXr6moCwVxwKEgSPxhVvF,False,87,Apaga El Cel,5Isy5T3w9NjggarK5RxrQZ,https://i.scdn.co/image/ab67616d0000b273d312df961b08d6919786d560,2023-12-22,Calle 24,6dLuQ5qXxIuWc5urxfIiZR,170832,10,0.101,0.744,0.842,2.43e-06,0.148,-6.576,0,0.0358,0.814,125.258,"corrido, corridos tumbados, sad sierreno, sierreno"
Top 50 - Mexico,Alucin,6ED7qim1NAX1HjNU8039WS,True,91,Alucin,6tPNZ9sIL1aQUooAlItmCB,https://i.scdn.co/image/ab67616d0000b273086a84a764dc341262487967,2023-11-17,Eugenio Esquivel,5HeN1Iza4nZe03sFlonddz,197114,7,0.00331,0.787,0.769,0.00332,0.115,-4.681,0,0.0335,0.509,128.0,
