playlist_name,music_name,music_id,music_explicit,music_popularity,album_name,album_id,album_image,album_release_date,artist_name,artist_id,music_duration,music_key,music_acousticness,music_danceability,music_energy,music_instrumentalness,music_liveness,music_loudness,music_mode,music_speechness,music_valence,music_tempo,artist_genres
Top 50 - Nigeria,Egwu,1IMRi5UVOV77PsAgdWDvzh,False,75,Egwu,4JlWlQoaf9gg1Ve5rzoSQi,https://i.scdn.co/image/ab67616d0000b2732cd3ecc89d1d99d804448155,2023-12-15,Chike,6zK1M4TcabpLQMNmmG2P0Q,136133,9,0.366,0.878,0.722,0.00311,0.141,-6.917,1,0.0473,0.57,117.967,"afrobeats, afropop, nigerian pop"
Top 50 - Nigeria,Cast,6BWgLorAwF17ofyu8361HM,True,75,Presido La Pluto,14VJEhvxRCOsNtcwjjBxwR,https://i.scdn.co/image/ab67616d0000b2730be3f5ac465d388c03d92737,2023-11-10,Shallipopi,4TKhxSkqClXrdtUWgKqHVU,129123,6,0.075,0.91,0.844,1.22e-05,0.0297,-4.224,1,0.0735,0.876,113.027,afrobeats
Top 50 - Nigeria,Obapluto (feat. Pa Monday-Edo),6TBpPOmLOa1mInpq3PIz6N,False,65,Planet Pluto,0iCqV7WYwbkEDktnkZXkQ0,https://i.scdn.co/image/ab67616d0000b2736c8c430cb450f19074916a68,2023-07-14,Shallipopi,4TKhxSkqClXrdtUWgKqHVU,170606,6,0.209,0.815,0.923,0.0,0.255,-3.753,0,0.0875,0.622,114.009,afrobeats
Top 50 - Nigeria,Oscroh (Pepperline),22zSEWIqoJuGeRI2CIfHpU,True,64,Presido La Pluto,14VJEhvxRCOsNtcwjjBxwR,https://i.scdn.co/image/ab67616d0000b2730be3f5ac465d388c03d92737,2023-11-10,Shallipopi,4TKhxSkqClXrdtUWgKqHVU,164676,1,0.176,0.908,0.688,2.58e-06,0.0912,-6.885,1,0.0596,0.715,112.006,afrobeats
Top 50 - Nigeria,Commas,3JozQbIWMHBTKIghXKehVy,False,71,Commas,5UX3Gr5uFrtvRvIScps1gA,https://i.scdn.co/image/ab67616d0000b273e598ef7c0b4a6990ad12f4af,2024-02-01,Ayra Starr,3ZpEKRjHaHANcpk10u6Ntq,157200,1,0.0238,0.774,0.594,0.000231,0.546,-6.838,1,0.0392,0.708,100.001,afrobeats
Top 50 - Nigeria,Twe Twe,2khv04F26pnJr4989Maowi,False,71,Twe Twe,0Cfw8M7pu4fdsYsKvUyFg7,https://i.scdn.co/image/ab67616d0000b273ddbbec8ef7abd122c07854fe,2024-01-25,Kizz Daniel,1X6cBGnXpEpN7CmflLKmLV,143111,0,0.462,0.53,0.844,0.0,0.123,-8.214,0,0.211,0.834,134.977,"afrobeats, afropop, azontobeats, nigerian pop"
Top 50 - Nigeria,Too Busy To Be Bae,2oXElJdmnDXKkeWNEYiK7A,False,71,Too Busy To Be Bae,6tmgVhYZuO8KOaj202zAsy,https://i.scdn.co/image/ab67616d0000b2734f59d753e29407c2b6cf5843,2023-12-11,Kizz Daniel,1X6cBGnXpEpN7CmflLKmLV,192432,6,0.18,0.897,0.396,8.93e-05,0.185,-11.215,0,0.206,0.785,110.974,"afrobeats, afropop, azontobeats, nigerian pop"
Top 50 - Nigeria,Twe Twe,02qAdqcn1HGt3RMWMTDkSe,False,72,Twe Twe,1jv97lAItsr4nWgPBFm7e2,https://i.scdn.co/image/ab67616d0000b273b238363745a0e1770d8261ab,2023-12-11,Kizz Daniel,1X6cBGnXpEpN7CmflLKmLV,154667,0,0.526,0.431,0.854,5.39e-06,0.121,-8.651,0,0.296,0.805,64.595,"afrobeats, afropop, azontobeats, nigerian pop"
Top 50 - Nigeria,My G,25k1dcqUAmq4uYKUFj7u3o,False,68,Maverick,2gbx0YcLDduf3oqujoq1fI,https://i.scdn.co/image/ab67616d0000b2730920104ff07589bcd3bd3e5f,2023-07-27,Kizz Daniel,1X6cBGnXpEpN7CmflLKmLV,151598,8,0.504,0.788,0.728,0.0019,0.273,-4.024,1,0.053,0.874,103.017,"afrobeats, afropop, azontobeats, nigerian pop"
Top 50 - Nigeria,Bust Down,3eWpfsYgd5OL2QdwcVcF6Q,False,66,Bust Down,5WBwh4xPACk0mfi5J5vw1G,https://i.scdn.co/image/ab67616d0000b273773ebeedf6c29d97cb313717,2024-02-01,Zlatan,4mSWNal2Ixxf1zrXSTLoep,196364,8,0.36,0.827,0.819,3.22e-06,0.155,-6.324,1,0.0787,0.882,110.008,"afrobeats, nigerian pop"
Top 50 - Nigeria,IDK (feat. Zlatan),5KV5UXd1uNZZafWTudrVft,False,74,S2,24bAAFr3dK2TMVMaCZWMJM,https://i.scdn.co/image/ab67616d0000b273508ba55691701655a8d9f70c,2023-12-21,Wizkid,3tVQdUvClmAT7URs9V3rsp,180638,10,0.105,0.584,0.747,0.0013,0.149,-4.726,0,0.258,0.798,98.111,"afrobeats, afropop, azonto, nigerian hip hop, nigerian pop"
Top 50 - Nigeria,Diamonds,0UEct6UTSjqEex8AHOUf5z,False,71,S2,24bAAFr3dK2TMVMaCZWMJM,https://i.scdn.co/image/ab67616d0000b273508ba55691701655a8d9f70c,2023-12-21,Wizkid,3tVQdUvClmAT7URs9V3rsp,149171,1,0.0485,0.759,0.788,3.67e-05,0.0644,-4.776,1,0.095,0.743,100.029,"afrobeats, afropop, azonto, nigerian hip hop, nigerian pop"
