playlist_name,music_name,music_id,music_explicit,music_popularity,album_name,album_id,album_image,album_release_date,artist_name,artist_id,music_duration,music_key,music_acousticness,music_danceability,music_energy,music_instrumentalness,music_liveness,music_loudness,music_mode,music_speechness,music_valence,music_tempo,artist_genres
Top 50 - Pakistan,Husn,0TL0LFcwIBF5eX7arDIKxY,False,89,Husn,2SarxpD48O1DOiDIccyZ0W,https://i.scdn.co/image/ab67616d0000b2730d3449f333a83a25feb423f8,2023-12-01,Anuv Jain,4gdMJYnopf2nEUcanAwstx,217895,5,0.682,0.527,0.376,0.0,0.142,-9.974,1,0.0298,0.24,151.928,"desi pop, hindi indie, indian indie, indian singer-songwriter"
Top 50 - Pakistan,King Shit,1BpvuKIG7jK5EiTp2tv5z8,False,84,Leo,1h0Yw7Wm49GGiGpN2gd3o2,https://i.scdn.co/image/ab67616d0000b2733bf0683f6ac36cc954339d03,2024-01-05,Shubh,5r3wPya2PpeTTsXsGhQU8O,226933,11,0.301,0.794,0.566,0.000168,0.151,-8.35,0,0.0602,0.68,85.953,punjabi hip hop
Top 50 - Pakistan,You and Me,4thOONDx78zsY8sHGfU1M2,False,80,Leo,1h0Yw7Wm49GGiGpN2gd3o2,https://i.scdn.co/image/ab67616d0000b2733bf0683f6ac36cc954339d03,2024-01-05,Shubh,5r3wPya2PpeTTsXsGhQU8O,172067,8,0.109,0.695,0.786,0.0122,0.186,-6.223,0,0.037,0.408,102.022,punjabi hip hop
Top 50 - Pakistan,One Love,5ZLkihi6DVsHwDL3B8ym1t,False,85,One Love,3tNH9Fp4dm3qa3Kr4cv5uJ,https://i.scdn.co/image/ab67616d0000b273d7eb20034ff1c7b7bb3629de,2023-08-18,Shubh,5r3wPya2PpeTTsXsGhQU8O,159222,7,0.284,0.848,0.512,0.00645,0.101,-7.757,1,0.118,0.881,144.926,punjabi hip hop
Top 50 - Pakistan,Safety Off,3NwmvlTYDZPRBGDMGgJH8K,True,78,Leo,1h0Yw7Wm49GGiGpN2gd3o2,https://i.scdn.co/image/ab67616d0000b2733bf0683f6ac36cc954339d03,2024-01-05,Shubh,5r3wPya2PpeTTsXsGhQU8O,143200,1,0.0163,0.749,0.571,8.41e-06,0.136,-9.111,0,0.0504,0.329,90.014,punjabi hip hop
Top 50 - Pakistan,Cheques,4eBvRhTJ2AcxCsbfTUjoRp,False,83,Still Rollin,5AivaZj0CiQJoDWqVH2pbh,https://i.scdn.co/image/ab67616d0000b2731a8c4618eda885a406958dd0,2023-05-19,Shubh,5r3wPya2PpeTTsXsGhQU8O,183757,4,0.262,0.742,0.627,1.23e-05,0.269,-8.939,0,0.0533,0.356,89.998,punjabi hip hop
Top 50 - Pakistan,Still Rollin,6oz1L5jcqZWYuId7nxvIan,False,80,Still Rollin,5AivaZj0CiQJoDWqVH2pbh,https://i.scdn.co/image/ab67616d0000b2731a8c4618eda885a406958dd0,2023-05-19,Shubh,5r3wPya2PpeTTsXsGhQU8O,174730,6,0.182,0.881,0.431,0.0018,0.113,-11.093,0,0.0914,0.246,94.0,punjabi hip hop
Top 50 - Pakistan,No Love,08Isz2ETWSBhvIl8UpKYsp,False,79,No Love,5Zcgog7sQ79ISF32y9nABU,https://i.scdn.co/image/ab67616d0000b2732a46046339bd779f95a8cf8b,2022-02-22,Shubh,5r3wPya2PpeTTsXsGhQU8O,170388,4,0.24,0.768,0.487,0.0,0.175,-8.936,0,0.0431,0.722,137.034,punjabi hip hop
Top 50 - Pakistan,Dior,53QrRlALFJfZgdcGLKwy5s,False,77,Still Rollin,5AivaZj0CiQJoDWqVH2pbh,https://i.scdn.co/image/ab67616d0000b2731a8c4618eda885a406958dd0,2023-05-19,Shubh,5r3wPya2PpeTTsXsGhQU8O,139134,5,0.514,0.967,0.362,0.00637,0.124,-11.374,0,0.159,0.633,115.974,punjabi hip hop
Top 50 - Pakistan,Baller,42TMa2hgBNjte4uV7jNCnQ,False,78,Baller,44aCFqUbG06fL58kqpMp8p,https://i.scdn.co/image/ab67616d0000b27352919a0cb296d317f6bbeebd,2022-09-09,Shubh,5r3wPya2PpeTTsXsGhQU8O,148188,5,0.00487,0.711,0.702,0.0163,0.0932,-10.048,1,0.233,0.674,180.219,punjabi hip hop
