playlist_name,music_name,music_id,music_explicit,music_popularity,album_name,album_id,album_image,album_release_date,artist_name,artist_id,music_duration,music_key,music_acousticness,music_danceability,music_energy,music_instrumentalness,music_liveness,music_loudness,music_mode,music_speechness,music_valence,music_tempo,artist_genres
Top 50 - Philippines,Babaero,0NJAqnvbF6vzripOB7PclP,False,76,Babaero,1rWV1baWSlnYYrYxU719QO,https://i.scdn.co/image/ab67616d0000b2734d5b5fd52ad1196eb5306665,2024-01-09,gins&melodies,2WzWSpOB41g3gb78Raj6RK,175396,8,0.531,0.866,0.494,0.0,0.118,-7.139,0,0.0827,0.77,121.018,"pinoy hip hop, tagalog rap"
Top 50 - Philippines,LUV DRUG,3oSu6uIHuwZOTyHdAZGojm,True,77,LUV DRUG,4YQbWQV2kdQtSld9XTOCoE,https://i.scdn.co/image/ab67616d0000b2733ad5893ac0eb68a53d417096,2023-06-28,gins&melodies,2WzWSpOB41g3gb78Raj6RK,198888,2,0.501,0.686,0.52,0.0,0.224,-11.427,1,0.069,0.1,109.927,"pinoy hip hop, tagalog rap"
Top 50 - Philippines,Alam Mo Ba Girl,57Z7lSnhwx82laEb6rdZPB,True,82,Kung Alam Mo Lang,36OmXvGRKAY2zICbVtItoa,https://i.scdn.co/image/ab67616d0000b2737300c1e7edcdbd15a42e1579,2023-10-20,Hev Abi,4zpGxqF6oI1h3f6Md2v42T,224615,5,0.23,0.549,0.848,3.12e-06,0.397,-4.184,0,0.344,0.524,155.824,pinoy hip hop
Top 50 - Philippines,Walang Alam,4wZTvLi0khNRqqz4i5XhdV,True,77,Kung Alam Mo Lang,36OmXvGRKAY2zICbVtItoa,https://i.scdn.co/image/ab67616d0000b2737300c1e7edcdbd15a42e1579,2023-10-20,Hev Abi,4zpGxqF6oI1h3f6Md2v42T,186000,3,0.294,0.721,0.455,0.0,0.116,-9.812,0,0.343,0.879,120.184,pinoy hip hop
Top 50 - Philippines,Lil Kasalanan Shortie,6zdryckXPbIeQE5npNqvNp,True,79,Lil Kasalanan Shortie,03XSg6TO123KLtT7YusRjO,https://i.scdn.co/image/ab67616d0000b273f937b27b84ed3fa8ba363c74,2022-11-30,Hev Abi,4zpGxqF6oI1h3f6Md2v42T,163965,7,0.0813,0.797,0.526,0.0,0.167,-10.404,1,0.0429,0.896,120.051,pinoy hip hop
Top 50 - Philippines,Para Sa Streets,0szRYVD2MwFzQMs58PT1Ec,True,78,Para Sa Streets,62G53UzsyGd1updwIfyXLq,https://i.scdn.co/image/ab67616d0000b2739de8478ed1ea9fa91b30a7c9,2023-01-13,Hev Abi,4zpGxqF6oI1h3f6Md2v42T,194476,7,0.289,0.808,0.398,0.000257,0.142,-9.746,0,0.0492,0.939,116.985,pinoy hip hop
Top 50 - Philippines,WELCOME2DTQ,3gRhGExNITCqVo0mCyqp3m,True,78,WELCOME2DTQ,1coaR0jupZjPePYu3AkFQP,https://i.scdn.co/image/ab67616d0000b2739e0b8cd29a3a918d0896a398,2023-02-24,Hev Abi,4zpGxqF6oI1h3f6Md2v42T,179116,1,0.0269,0.857,0.421,6.34e-06,0.327,-8.178,1,0.0679,0.0775,120.014,pinoy hip hop
Top 50 - Philippines,Makasarili Malambing,1c6hnvWjzUsJoypgwUV2sE,False,81,Makasarili Malambing,07y0oEistR8d2JOwd5E67B,https://i.scdn.co/image/ab67616d0000b27310599389b53e69b3dbe36d53,2023-11-17,Kristina Dawn,5Two5JCWeQdaAbGKUFQx8d,121845,8,0.277,0.689,0.449,2.17e-06,0.0916,-7.169,0,0.0366,0.788,126.056,
Top 50 - Philippines,Get Low,2kbNBhtgGiTxBuZTCXiQVY,False,82,Get Low,7e209iBgYDKOavREMtFVAn,https://i.scdn.co/image/ab67616d0000b2730a80aa6e4dad19c13d9c4334,2023-12-22,O SIDE MAFIA,4O19i2jHEjPyz17BeiwbDp,153887,2,0.474,0.882,0.636,0.03,0.055,-8.459,1,0.124,0.695,95.978,pinoy drill
Top 50 - Philippines,TAKE ALL THE LOVE,2v6jmF6VQWS96x6tSg05IC,False,81,TAKE ALL THE LOVE,4EJLfrjbTDyhhMU1AcYDPb,https://i.scdn.co/image/ab67616d0000b2739a55aeae1d7fd8ce574f2085,2021-04-23,Arthur Nery,7uDdl5V5AETSFY7K3muu22,206182,5,0.285,0.491,0.486,0.0,0.0976,-6.588,1,0.0347,0.262,82.411,"cdo indie, opm, p-pop"
Top 50 - Philippines,Isa lang,0HAG6nIiEKd75yGpovuSJQ,False,78,Isa lang,09S77IK5S0vxVF0DfwSohF,https://i.scdn.co/image/ab67616d0000b273df3331333740645b8eaa4a95,2021-12-17,Arthur Nery,7uDdl5V5AETSFY7K3muu22,269256,6,0.783,0.429,0.464,0.0,0.0846,-8.445,0,0.0719,0.375,121.17,"cdo indie, opm, p-pop"
Top 50 - Philippines,Faded (Raw),5AxEGHRwgBqFDZ20ilkCw6,True,79,Faded (Raw),1YoTE6M7v7oQcdv5gHM0kb,https://i.scdn.co/image/ab67616d0000b2733fe0c03eeae2ff5e1dc1f26f,2023-12-01,Illest Morena,2zRoFfKfqM5jaUysSG9EUI,175385,8,0.495,0.694,0.689,0.0,0.242,-6.95,1,0.0833,0.669,77.905,
Top 50 - Philippines,My Love Mine All Mine,3vkCueOmm7xQDoJ17W1Pm3,False,99,The Land Is Inhospitable and So Are We,2Cn1d2KgbkAqbZCJ1RzdkA,https://i.scdn.co/image/ab67616d0000b27334f21d3047d85440dfa37f10,2023-09-15,Mitski,2uYWxilOVlUdk4oV9DvwqK,137773,9,0.868,0.504,0.308,0.135,0.158,-14.958,1,0.0321,0.121,113.95,"brooklyn indie, pov: indie"
Top 50 - Philippines,Tingin,7b89Ffklm3xh4GI37vlZDZ,False,82,Tingin,5Z3PE5HciL6majXbtu3EU3,https://i.scdn.co/image/ab67616d0000b2734428cfe2f5f0b5e1230bbb61,2023-04-28,Cup of Joe,61nn6nOoLWjVC1ER2qFAvN,222298,4,0.21,0.624,0.769,0.000147,0.106,-6.277,1,0.0498,0.466,105.099,"opm, pinoy city pop"
Top 50 - Philippines,Cruel Summer,1BxfuPKGuaTgP7aM0Bbdwr,False,99,Lover,1NAmidJlEaVgA3MpcPFYGq,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647,2019-08-23,Taylor Swift,06HL4z0CvFAxyc27GXpf02,178427,9,0.117,0.552,0.702,2.06e-05,0.105,-5.707,1,0.157,0.564,169.994,pop
Top 50 - Philippines,Lover,1dGr1c8CrMLDpV6mPbImSI,False,93,Lover,1NAmidJlEaVgA3MpcPFYGq,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647,2019-08-23,Taylor Swift,06HL4z0CvFAxyc27GXpf02,221307,7,0.492,0.359,0.543,1.58e-05,0.118,-7.582,1,0.0919,0.453,68.534,pop
Top 50 - Philippines,711,2ONW0ksoUixoxT7gfI9hWX,False,82,711,3rr7vncuxv64AzY98YwPIL,https://i.scdn.co/image/ab67616d0000b27319216fbc9f711fa7e8bcbaba,2023-09-08,TONEEJAY,2KdFoq4IBXMzfia4ZCLDIs,222000,9,0.14,0.377,0.716,0.00195,0.182,-5.278,1,0.0357,0.336,179.632,
