playlist_name,music_name,music_id,music_explicit,music_popularity,album_name,album_id,album_image,album_release_date,artist_name,artist_id,music_duration,music_key,music_acousticness,music_danceability,music_energy,music_instrumentalness,music_liveness,music_loudness,music_mode,music_speechness,music_valence,music_tempo,artist_genres
Top 50 - South Africa,"Imithandazo (feat. Young Stunna, DJ Maphorisa, Sizwe Alakine & Umthakathi Kush)",6Kijtp0DB6VwcoJIw7PJ9W,False,73,Isimo,4fHsKSIC0nL0cJimyaDT21,https://i.scdn.co/image/ab67616d0000b2734ddaf6f637212db3d7ceafac,2023-10-27,Kabza De Small,1bNjWBFWsAAzZSR59lRdpR,351201,6,0.179,0.806,0.767,0.00126,0.182,-9.686,0,0.112,0.795,113.001,amapiano
Top 50 - South Africa,Amazwe (feat. Mawhoo),2Oe52Ggx8lxxI55azZbr5h,False,61,Isimo,4fHsKSIC0nL0cJimyaDT21,https://i.scdn.co/image/ab67616d0000b2734ddaf6f637212db3d7ceafac,2023-10-27,Kabza De Small,1bNjWBFWsAAzZSR59lRdpR,463037,10,0.0159,0.806,0.682,0.00185,0.0548,-9.961,0,0.0537,0.582,112.992,amapiano
Top 50 - South Africa,Funk 55,5CD3ImPPdCW8QFQkjo5TXt,False,69,Funk 55,76EZEYn9nhqGh4mkc14KQb,https://i.scdn.co/image/ab67616d0000b273ac02b6ac8defc45ca5db585a,2023-12-01,Shakes & Les,4bslbAAfObKnJI0G6FNcTp,373822,2,0.023,0.895,0.438,0.000359,0.0425,-13.307,0,0.083,0.508,113.047,
Top 50 - South Africa,Masithokoze,4tsVMjM60RNTe9EV5oQ4sQ,False,69,Masithokoze,3wdbuCXkU5r760vj9gSO2c,https://i.scdn.co/image/ab67616d0000b273116c0d2344e7ec3c9e89e51d,2023-10-20,DJ Stokie,1lDWyPzSZOqP5jfZNm5lLI,427218,6,0.0224,0.603,0.501,0.155,0.0154,-14.253,0,0.0617,0.355,113.006,amapiano
Top 50 - South Africa,Awukhuzeki,4J1H4EuucGhhYfcPpYCBRr,False,65,My Journey Continues,6w8xkQa7VVqWynKA1jfpVI,https://i.scdn.co/image/ab67616d0000b273e1c0e1ff850785f1fab233fc,2023-04-07,DJ Stokie,1lDWyPzSZOqP5jfZNm5lLI,492617,1,0.0133,0.785,0.471,0.688,0.119,-12.497,1,0.0468,0.497,112.991,amapiano
Top 50 - South Africa,Beautiful Things,6tNQ70jh4OwmPGpYy6R2o9,False,94,Beautiful Things,29aSKB1qPEbN0Qf9OPSQpw,https://i.scdn.co/image/ab67616d0000b273f2a919d3fa0f2b2593c92d19,2024-01-18,Benson Boone,22wbnEMDvgVIAGdFeek6ET,180304,10,0.151,0.472,0.471,0.0,0.14,-5.692,1,0.0603,0.219,105.029,singer-songwriter pop
Top 50 - South Africa,Izenzo,3pImmSzeKex5ffzsDoaL3z,False,67,Izenzo,2gXRXY2SW75aDTSjsui57w,https://i.scdn.co/image/ab67616d0000b2730e8fd00044ce2fe7306ab0a6,2023-08-25,Bassie,1ELUrmWBlXkqVabjVincQ6,414967,4,0.575,0.748,0.56,0.00117,0.141,-13.918,0,0.0563,0.492,112.0,amapiano
Top 50 - South Africa,Keneilwe (feat. Dalom Kids),0UBK6HcgmmWUQzFQTncmDz,False,69,Makhelwane,28kb1LVlnyB0BkollLoCi1,https://i.scdn.co/image/ab67616d0000b2736c7a60c06fff1322898f9d0c,2023-11-17,Wanitwa Mos,2iN5MhOgkenO5FtkPtEVAF,328821,9,0.0102,0.867,0.45,0.00124,0.0228,-8.306,1,0.0467,0.589,113.015,amapiano
Top 50 - South Africa,iPlan,5yyYL1FpimADTIftYQU0cg,False,69,Permanent Music 3,6qXlSLu7mrUz8XIyJaBlow,https://i.scdn.co/image/ab67616d0000b27390c1d9fe38737e9cc1e2f245,2023-09-15,Dlala Thukzin,5kmceQl1Y7lveTVbcy5ycD,410847,5,0.0709,0.697,0.643,0.584,0.101,-10.253,0,0.0384,0.748,118.004,gqom
Top 50 - South Africa,"Amalobolo (feat. Stixx, Nia Pearl)",2pqIaYg12ziqIpVtdVESGt,False,47,Kurhula,552Kxk9MJl4M0WNvst18xH,https://i.scdn.co/image/ab67616d0000b2735620574cff57256f6d6abed2,2023-12-08,Kelvin Momo,4VlxI0WKDh7HFgHjXcfj6v,509790,6,0.00775,0.794,0.436,0.699,0.654,-18.272,0,0.0633,0.353,112.997,amapiano
