playlist_name,music_name,music_id,music_explicit,music_popularity,album_name,album_id,album_image,album_release_date,artist_name,artist_id,music_duration,music_key,music_acousticness,music_danceability,music_energy,music_instrumentalness,music_liveness,music_loudness,music_mode,music_speechness,music_valence,music_tempo,artist_genres
Top 50 - Spain,LA ÚLTIMA,2qHvD3r5qu4wuPpvq3CQKb,False,81,LA ÚLTIMA,2VZ9rmzFLZbsMMrmrJF8ur,https://i.scdn.co/image/ab67616d0000b27366a722b9c27033ecd5d9a899,2024-02-01,Quevedo,52iwsT98xCoGgiGntTiR7K,170323,7,0.171,0.552,0.61,0.0,0.071,-6.304,1,0.0657,0.225,92.936,"rap canario, trap latino, urbano latino"
Top 50 - Spain,Columbia,6XbtvPmIpyCbjuT0e8cQtp,False,92,Columbia,07kam1Dks7GIucbSelfvyX,https://i.scdn.co/image/ab67616d0000b273a00a817b017c6f6bf8460be9,2023-07-07,Quevedo,52iwsT98xCoGgiGntTiR7K,186000,5,0.369,0.668,0.712,2.13e-05,0.108,-5.927,1,0.0381,0.264,100.02,"rap canario, trap latino, urbano latino"
Top 50 - Spain,Buenas,4sDpxaulErbJ9NBaJDC7cJ,False,81,Buenas,2FRQH7JReYGUWXX86Pr6ag,https://i.scdn.co/image/ab67616d0000b27347dde0f7071eb50a15c74470,2023-09-22,Quevedo,52iwsT98xCoGgiGntTiR7K,192955,8,0.247,0.625,0.755,0.0,0.124,-4.643,1,0.0724,0.429,87.948,"rap canario, trap latino, urbano latino"
Top 50 - Spain,"Young Miko: Bzrp Music Sessions, Vol. 58",6VciS3dRMpZhJiDxT8ArFi,False,94,"Young Miko: Bzrp Music Sessions, Vol. 58",0HMTQPl6rJmP7sQEaRYHRo,https://i.scdn.co/image/ab67616d0000b2737b58409ef2fbbcd4d0f4ed05,2024-01-10,Bizarrap,716NhGYqD1jl2wI1Qkgq36,190000,7,0.588,0.704,0.571,0.0,0.117,-8.212,0,0.156,0.443,96.016,"argentine hip hop, pop venezolano, trap argentino, trap latino, urbano latino"
Top 50 - Spain,"Milo J: Bzrp Music Sessions, Vol. 57",1iLbUmb2b2btyAAcQ68a1p,False,83,"Milo J: Bzrp Music Sessions, Vol. 57",5NwbUP5QkkMndzwJp9kkxr,https://i.scdn.co/image/ab67616d0000b273055cea306ade28a459e948b4,2023-10-03,Bizarrap,716NhGYqD1jl2wI1Qkgq36,192288,4,0.527,0.795,0.553,2.84e-06,0.112,-8.496,0,0.244,0.739,124.109,"argentine hip hop, pop venezolano, trap argentino, trap latino, urbano latino"
Top 50 - Spain,Manos Rotas,3BFh8rR6aMexy7ELu2UQy3,False,85,Manos Rotas,7KKBibFuDeAKYrB79gPcHu,https://i.scdn.co/image/ab67616d0000b2731a176de75067ededc26ad96d,2023-11-16,DELLAFUENTE,4bJh7sMPcVRiqe5jlnsWQV,168594,4,0.386,0.728,0.59,0.0612,0.162,-5.787,0,0.204,0.238,93.977,"flamenco urbano, urbano espanol"
Top 50 - Spain,LUNA,7bywjHOc0wSjGGbj04XbVi,False,97,FERXXOCALIPSIS,0lgs2Sa82lyX89nBUWyUy6,https://i.scdn.co/image/ab67616d0000b273f1aad814a40ec7419c234242,2023-12-01,Feid,2LRoIwlKmHjgvigdNGBHNo,196800,7,0.131,0.774,0.86,0.0,0.116,-2.888,0,0.13,0.446,100.019,"colombian pop, pop reggaeton, reggaeton, reggaeton colombiano, trap latino, urbano latino"
Top 50 - Spain,M.A.I,35ttE4t8lQZA2vuCYDg4G7,False,86,111,338cbfABt3duRORfvNeqLT,https://i.scdn.co/image/ab67616d0000b27398ee8fad7a30ff328b97d874,2023-11-30,Milo j,19HM5j0ULGSmEoRcrSe5x3,184027,10,0.758,0.364,0.572,0.0,0.229,-5.861,0,0.0341,0.514,80.363,"trap argentino, trap latino, urbano latino"
Top 50 - Spain,Buscando Money,357iDuZ0IXAAg3Aj7UszqO,False,81,Buscando Money,2kPKfMNrvUMOFVrFVENqrl,https://i.scdn.co/image/ab67616d0000b273be36350056798fae9bbb938c,2023-07-21,TWENTY SIX,6C2mFGFh8dz1vKp9l5Ce8P,150000,9,0.0895,0.817,0.812,0.536,0.0669,-6.674,0,0.057,0.725,128.028,
Top 50 - Spain,LA FALDA,7iUtQNMRB8ZkKC4AmEuCJC,True,92,LVEU: VIVE LA TUYA...NO LA MIA,1ZVJTCW5rxpHKNgsNL91J2,https://i.scdn.co/image/ab67616d0000b273c75c054b6b209b0b91d818d8,2023-09-18,Myke Towers,7iK8PXO48WeuP03g8YR51W,174230,7,0.372,0.8,0.738,0.00877,0.19,-4.26,1,0.0691,0.267,103.008,"reggaeton, trap latino, urbano latino"
