artist_id,artist_genres
0n4Fao9kbjgM76RmVlfSwr,
2RQXRUsr4IW1f3mKyKsy4B,pov: indie
2LIk90788K0zvyj2JJVwkJ,"deep underground hip hop, kentucky hip hop, pop rap, rap"
22wbnEMDvgVIAGdFeek6ET,singer-songwriter pop
33qOK5uJ8AR2xuQQAhHump,
45dkTj5sMRSjrmBSBeiHym,"alt z, pop"
7tYKF4w9nC0nq9CsPZTHyP,"pop, r&b, rap"
06HL4z0CvFAxyc27GXpf02,pop
1URnnhqYAYcrqrcwql10ft,"atl hip hop, hip hop, rap"
2cBh5lVMg222FFuRU7EfDE,"dance pop, europop, new wave pop"
1Xyo4u8uXC1ZmMpatF05PJ,"canadian contemporary r&b, canadian pop, pop"
3zo9C8J8m3VlXb9hNlLcJX,nz reggae
08GQAI4eElDnROBrJRGE0X,"album rock, classic rock, rock, soft rock, yacht rock"
08PvCOlef4xdOr20jFSTPd,viral rap
40ZNYROS4zLfyyBSs2PGe2,classic oklahoma country
11kt6ggsdxvI8MhyeSMKom,
7uMDnSZyUYNBPLhPMNuaM2,singer-songwriter pop
18lpwfiys4GtdHWNUu9qQr,"australian reggae fusion, australian surf rock"
4oLeXFyACqeem2VImYeBFe,"edm, house, stutter house"
7tYKF4w9nC0nq9CsPZTHyP,"pop, r&b, rap"
5wCmhq5J2hPwL2r0eKurxn,hypertechno
5YGY8feqx7naU7z4HrwZM6,pop
3SozjO3Lat463tQICI9LcE,
7o95ZoZt5ZYn31e9z1Hc0a,"dance pop, pop, post-teen pop"
40ZNYROS4zLfyyBSs2PGe2,classic oklahoma country
3TVXtAsR1Inumwj472S9r4,"canadian hip hop, canadian pop, hip hop, pop rap, rap"
5cj0lLjcoR7YOSnhnX0Po5,"dance pop, pop"
2uYWxilOVlUdk4oV9DvwqK,"brooklyn indie, pov: indie"
1Xyo4u8uXC1ZmMpatF05PJ,"canadian contemporary r&b, canadian pop, pop"
66CXWjxzNUsdJxJ2JdwvnR,pop
4j96cMcT8GRi11qbvo1cLQ,
10exVja0key0uqUkk6LJRT,"folk-pop, modern rock"
52N3KGrTWDRhdQJrgBTofE,
3IYUhFvPQItj6xySrBmZkd,"album rock, classic rock, country rock, rock, southern rock, swamp rock"
7tYKF4w9nC0nq9CsPZTHyP,"pop, r&b, rap"
5cj0lLjcoR7YOSnhnX0Po5,"dance pop, pop"
4oUHIQIBe0LHzYfvXNW4QM,contemporary country
2h93pZq0e7k5yf4dywlkpM,"lgbtq+ hip hop, neo soul"
4zoRNhOhsGX3w8yBAnFSQ8,indie r&b
7oPgCQqMMXEXrNau5vxYZP,"folk, lilith, singer-songwriter, women's music"
6M2wZ9GZgrQXHCFfjv46we,"dance pop, pop, uk pop"
6U3ybJ9UHNKEdsH7ktGBZ7,"hip hop, pop rap, rap, underground hip hop"
718COspgdWOnwOFpJHRZHS,"contemporary country, country"
3eAOH2az3fQIfX2UAw0FfC,nz reggae
3OEJ7D4RwbnNFuG9JczKEa,london rap
7tjVFCxJdwT4NdrTmjyjQ6,indie r&b
45dkTj5sMRSjrmBSBeiHym,"alt z, pop"
3eAOH2az3fQIfX2UAw0FfC,nz reggae
205i7E8fNVfojowcQSfK9m,"australian house, deep groove house, house"
6ltzsmQQbmdoHHbLZ4ZN25,"indie folk, stomp and holler"
2RQXRUsr4IW1f3mKyKsy4B,pov: indie
2LIk90788K0zvyj2JJVwkJ,"deep underground hip hop, kentucky hip hop, pop rap, rap"
22wbnEMDvgVIAGdFeek6ET,singer-songwriter pop
45dkTj5sMRSjrmBSBeiHym,"alt z, pop"
06HL4z0CvFAxyc27GXpf02,pop
5wCmhq5J2hPwL2r0eKurxn,hypertechno
33qOK5uJ8AR2xuQQAhHump,
40ZNYROS4zLfyyBSs2PGe2,classic oklahoma country
2cBh5lVMg222FFuRU7EfDE,"dance pop, europop, new wave pop"
1Xyo4u8uXC1ZmMpatF05PJ,"canadian contemporary r&b, canadian pop, pop"
205i7E8fNVfojowcQSfK9m,"australian house, deep groove house, house"
7uMDnSZyUYNBPLhPMNuaM2,singer-songwriter pop
1URnnhqYAYcrqrcwql10ft,"atl hip hop, hip hop, rap"
40ZNYROS4zLfyyBSs2PGe2,classic oklahoma country
7o95ZoZt5ZYn31e9z1Hc0a,"dance pop, pop, post-teen pop"
66CXWjxzNUsdJxJ2JdwvnR,pop
3TVXtAsR1Inumwj472S9r4,"canadian hip hop, canadian pop, hip hop, pop rap, rap"
5cj0lLjcoR7YOSnhnX0Po5,"dance pop, pop"
4oUHIQIBe0LHzYfvXNW4QM,contemporary country
6M2wZ9GZgrQXHCFfjv46we,"dance pop, pop, uk pop"
7tYKF4w9nC0nq9CsPZTHyP,"pop, r&b, rap"
0n4Fao9kbjgM76RmVlfSwr,
7tYKF4w9nC0nq9CsPZTHyP,"pop, r&b, rap"
3SozjO3Lat463tQICI9LcE,
5YGY8feqx7naU7z4HrwZM6,pop
08PvCOlef4xdOr20jFSTPd,viral rap
1McMsnEElThX1knmY4oliG,pop
06HL4z0CvFAxyc27GXpf02,pop
4j96cMcT8GRi11qbvo1cLQ,
1Xyo4u8uXC1ZmMpatF05PJ,"canadian contemporary r&b, canadian pop, pop"
718COspgdWOnwOFpJHRZHS,"contemporary country, country"
74KM79TiuVKeVCqs8QtB0B,pop
10exVja0key0uqUkk6LJRT,"folk-pop, modern rock"
45dkTj5sMRSjrmBSBeiHym,"alt z, pop"
4oLeXFyACqeem2VImYeBFe,"edm, house, stutter house"
33NVpKoXjItPwUJTMZIOiY,"gen z singer-songwriter, singer-songwriter pop"
2uYWxilOVlUdk4oV9DvwqK,"brooklyn indie, pov: indie"
5b5bt4mZQpJMoCRbiQ7diH,
6U3ybJ9UHNKEdsH7ktGBZ7,"hip hop, pop rap, rap, underground hip hop"
246dkjvS1zLTtiykXe5h60,"dfw rap, melodic rap, pop, rap"
6qqNVTkY8uBg9cP3Jd7DAH,"art pop, pop"
5Pwc4xIPtQLFEnJriah9YJ,"piano rock, pop"
3WGpXCj9YhhfX11TToZcXP,"australian pop, pop, viral pop"
40ZNYROS4zLfyyBSs2PGe2,classic oklahoma country
6M2wZ9GZgrQXHCFfjv46we,"dance pop, pop, uk pop"
6ltzsmQQbmdoHHbLZ4ZN25,"indie folk, stomp and holler"
0C0XlULifJtAgn6ZNCW2eu,"alternative rock, dance rock, modern rock, permanent wave, rock"
4GNC7GD6oZMSxPGyXy4MNB,"pop, uk pop"
06HL4z0CvFAxyc27GXpf02,pop
18lpwfiys4GtdHWNUu9qQr,"australian reggae fusion, australian surf rock"
4kcQWQDK0u9AftVSpdrAgk,"cumbia pop, trap argentino, trap triste"
2IKdK6PbitvCiXt1t2bPU6,rap uruguayo
716NhGYqD1jl2wI1Qkgq36,"argentine hip hop, pop venezolano, trap argentino, trap latino, urbano latino"
