music_id,music_duration,music_key,music_acousticness,music_danceability,music_energy,music_instrumentalness,music_liveness,music_loudness,music_mode,music_speechness,music_valence,music_tempo
3h5TiWTqGxjSjFrbruPFH9,263040,6,0.128,0.66,0.727,1.31e-05,0.524,-4.028,0,0.0441,0.418,125.023
0mflMxspEfB0VbI1kyLiAv,182347,9,0.782,0.662,0.488,0.0,0.102,-6.894,1,0.0682,0.817,117.913
4xhsWYTOGcal8zt0J161CU,138411,2,0.0026,0.943,0.558,2.19e-06,0.0937,-4.911,1,0.0568,0.606,104.983
6tNQ70jh4OwmPGpYy6R2o9,180304,10,0.151,0.472,0.471,0.0,0.14,-5.692,1,0.0603,0.219,105.029
17phhZDn6oGtzMe56NuWvj,210689,9,0.199,0.561,0.604,1.9e-05,0.104,-4.409,1,0.0337,0.242,159.92
3rUGC1vUpkDG9CZFHMur1t,131872,6,0.256,0.75,0.733,0.0,0.114,-3.18,0,0.0319,0.844,111.018
4iZ4pt7kvcaH6Yo8UoZ4s2,201800,5,0.141,0.559,0.551,0.0,0.11,-7.231,1,0.132,0.392,143.008
1BxfuPKGuaTgP7aM0Bbdwr,178427,9,0.117,0.552,0.702,2.06e-05,0.105,-5.707,1,0.157,0.564,169.994
52eIcoLUM25zbQupAZYoFh,270698,2,0.00529,0.624,0.74,0.000224,0.5,-8.445,1,0.0481,0.246,172.089
4tKGFmENO69tZR9ahgZu48,230013,1,0.00234,0.73,0.849,2.6e-05,0.312,-5.281,0,0.0299,0.887,117.31
6WzRpISELf3YglGAh7TXcG,215467,1,0.0569,0.855,0.678,3.69e-05,0.412,-6.276,1,0.189,0.852,99.029
47WVBSXAXqouYBu0Uvnv9W,196393,9,0.333,0.834,0.551,2.04e-06,0.113,-5.662,0,0.0441,0.961,142.021
0ofHAoxe9vBkTCp2UQIavz,257800,0,0.0644,0.828,0.492,0.00428,0.128,-9.744,1,0.0276,0.789,120.151
6uTPdRrEDeH8Fyg5L5qmeU,125902,1,0.0504,0.781,0.567,0.0,0.0981,-7.857,1,0.0969,0.0743,121.964
4KULAymBBJcPRpk1yO4dOG,227196,0,0.554,0.429,0.453,2e-06,0.102,-7.746,1,0.0459,0.155,77.639
0h3Xy4V4apMraB5NuM8U7Z,213364,2,0.0638,0.875,0.518,0.00995,0.125,-8.388,1,0.0551,0.37,126.089
5mjYQaktjmjcMKcUIcqz4s,172965,11,0.701,0.628,0.523,0.00274,0.219,-8.307,0,0.0946,0.416,169.982
7to68V64Cu6zk0UDo5tyw3,253077,11,0.0637,0.59,0.562,0.0,0.105,-9.607,0,0.0505,0.561,140.835
7iUScoHKNJC5hqtA40vMlj,222784,0,0.00499,0.68,0.881,0.0253,0.574,-4.503,1,0.0553,0.105,174.062
1Qrg8KqiBpW07V7PNxwwwL,153947,8,0.0521,0.644,0.735,0.144,0.161,-5.747,1,0.0391,0.418,88.98
59NraMJsLaMCVtwXTSia8i,132359,8,0.001,0.638,0.717,1.79e-06,0.113,-5.804,1,0.0375,0.422,141.904
7DSAEUvxU8FajXtRloy8M0,200600,0,0.0584,0.706,0.691,6.99e-05,0.0232,-4.775,1,0.0633,0.632,118.048
5aIVCx5tnk0ntmdiinnYvw,200256,3,0.0856,0.673,0.722,0.0,0.137,-3.495,0,0.0755,0.519,117.187
3U5JVgI2x4rDyHGObzJfNf,259333,5,0.00584,0.706,0.8,0.0,0.0822,-6.333,1,0.0399,0.629,100.011
3WMj8moIAXJhHsyLaqIIHI,228013,4,0.555,0.369,0.192,8.35e-06,0.0954,-12.151,0,0.04,0.148,175.212
1yeB8MUNeLo9Ek1UEpsyz6,319192,2,0.0377,0.645,0.729,0.0,0.384,-4.56,1,0.0528,0.142,146.01
56y1jOTK0XSvJzVv9vHQBK,230480,2,0.255,0.864,0.556,3.85e-06,0.112,-7.683,0,0.194,0.726,99.974
3vkCueOmm7xQDoJ17W1Pm3,137773,9,0.868,0.504,0.308,0.135,0.158,-14.958,1,0.0321,0.121,113.95
7CyPwkp0oE8Ro9Dd5CUDjW,244685,8,0.0545,0.522,0.641,0.0,0.162,-6.287,1,0.0318,0.202,87.51
7gaA3wERFkFkgivjwbSvkG,214994,1,0.198,0.788,0.758,8.5e-05,0.104,-6.513,1,0.0505,0.823,119.008
3Pbp7cUCx4d3OAkZSCoNvn,159636,7,0.384,0.527,0.551,2.75e-06,0.403,-11.258,1,0.0345,0.443,148.035
3JvrhDOgAt6p7K8mDyZwRd,204280,1,0.431,0.484,0.731,0.0,0.151,-6.694,1,0.0379,0.51,101.654
6dpLxbF7lfCAnC9QRTjNLK,157486,6,0.0289,0.583,0.676,0.0634,0.121,-4.44,1,0.0298,0.134,77.002
2LawezPeJhN4AWuSB0GtAU,160133,0,0.0664,0.741,0.697,2.28e-05,0.133,-7.028,1,0.0277,0.774,116.109
4PMqSO5qyjpvzhlLI5GnID,278480,1,0.418,0.461,0.651,1.26e-05,0.782,-8.81,0,0.0568,0.383,121.07
5PyDJG7SQRgWXefgexqIge,265360,8,0.183,0.755,0.687,0.000177,0.125,-6.247,0,0.101,0.381,123.01
7K3BhSpAxZBznislvUMVtn,163855,6,0.467,0.492,0.675,0.0,0.142,-5.456,1,0.0389,0.478,203.759
3xKsf9qdS1CyvXSMEid6g8,184516,9,0.667,0.545,0.545,5.48e-05,0.417,-7.362,1,0.107,0.549,159.94
0cVyQfDyRnMJ0V3rjjdlU3,114234,0,0.152,0.85,0.699,0.0,0.32,-3.292,1,0.0776,0.915,114.481
2M9ro2krNb7nr7HSprkEgo,296800,4,0.313,0.711,0.292,0.0,0.131,-15.523,0,0.037,0.194,103.951
4OMJGnvZfDvsePyCwRGO7X,185918,9,0.0036,0.744,0.789,0.00144,0.0947,-4.876,0,0.059,0.866,116.985
1udwFobQ1JoOdWPQrp2b6u,229938,5,0.173,0.575,0.56,0.0,0.257,-7.302,1,0.478,0.471,75.956
1Lo0QY9cvc8sUB2vnIOxDT,265493,8,0.186,0.712,0.603,0.0,0.115,-5.52,1,0.0262,0.67,97.994
6r88rMGtfNgC0SJEytTA7c,252680,9,0.105,0.974,0.643,0.00141,0.0833,-8.857,0,0.0452,0.967,117.985
4Fuf1v4kPQ6RIvEGlUfvaq,169051,5,0.278,0.681,0.836,2.42e-06,0.0718,-3.325,0,0.0625,0.891,93.893
0WIv5qV41y6YjjB9V1biuC,188000,7,0.137,0.785,0.47,1.12e-06,0.131,-6.42,0,0.0329,0.0569,120.006
4E63weMCaNZuGPEFMnuEi8,159401,5,0.173,0.821,0.575,0.000242,0.114,-6.57,0,0.0589,0.611,136.962
4lJLnVBDuYMj6Knll4Wcnc,218720,3,0.49,0.707,0.921,0.000144,0.0527,-7.352,1,0.048,0.962,80.005
787Y2idwCU2Rk60Prv4wpr,207514,3,0.00353,0.747,0.822,0.132,0.165,-6.373,0,0.0721,0.578,129.994
3hRV0jL3vUpRrcy398teAU,208212,2,0.969,0.544,0.369,0.279,0.639,-9.514,1,0.038,0.102,87.01
0mflMxspEfB0VbI1kyLiAv,182347,9,0.782,0.662,0.488,0.0,0.102,-6.894,1,0.0682,0.817,117.913
4xhsWYTOGcal8zt0J161CU,138411,2,0.0026,0.943,0.558,2.19e-06,0.0937,-4.911,1,0.0568,0.606,104.983
6tNQ70jh4OwmPGpYy6R2o9,180304,10,0.151,0.472,0.471,0.0,0.14,-5.692,1,0.0603,0.219,105.029
3rUGC1vUpkDG9CZFHMur1t,131872,6,0.256,0.75,0.733,0.0,0.114,-3.18,0,0.0319,0.844,111.018
1BxfuPKGuaTgP7aM0Bbdwr,178427,9,0.117,0.552,0.702,2.06e-05,0.105,-5.707,1,0.157,0.564,169.994
59NraMJsLaMCVtwXTSia8i,132359,8,0.001,0.638,0.717,1.79e-06,0.113,-5.804,1,0.0375,0.422,141.904
17phhZDn6oGtzMe56NuWvj,210689,9,0.199,0.561,0.604,1.9e-05,0.104,-4.409,1,0.0337,0.242,159.92
4KULAymBBJcPRpk1yO4dOG,227196,0,0.554,0.429,0.453,2e-06,0.102,-7.746,1,0.0459,0.155,77.639
4tKGFmENO69tZR9ahgZu48,230013,1,0.00234,0.73,0.849,2.6e-05,0.312,-5.281,0,0.0299,0.887,117.31
6WzRpISELf3YglGAh7TXcG,215467,1,0.0569,0.855,0.678,3.69e-05,0.412,-6.276,1,0.189,0.852,99.029
787Y2idwCU2Rk60Prv4wpr,207514,3,0.00353,0.747,0.822,0.132,0.165,-6.373,0,0.0721,0.578,129.994
5mjYQaktjmjcMKcUIcqz4s,172965,11,0.701,0.628,0.523,0.00274,0.219,-8.307,0,0.0946,0.416,169.982
52eIcoLUM25zbQupAZYoFh,270698,2,0.00529,0.624,0.74,0.000224,0.5,-8.445,1,0.0481,0.246,172.089
3WMj8moIAXJhHsyLaqIIHI,228013,4,0.555,0.369,0.192,8.35e-06,0.0954,-12.151,0,0.04,0.148,175.212
3U5JVgI2x4rDyHGObzJfNf,259333,5,0.00584,0.706,0.8,0.0,0.0822,-6.333,1,0.0399,0.629,100.011
7gaA3wERFkFkgivjwbSvkG,214994,1,0.198,0.788,0.758,8.5e-05,0.104,-6.513,1,0.0505,0.823,119.008
1yeB8MUNeLo9Ek1UEpsyz6,319192,2,0.0377,0.645,0.729,0.0,0.384,-4.56,1,0.0528,0.142,146.01
56y1jOTK0XSvJzVv9vHQBK,230480,2,0.255,0.864,0.556,3.85e-06,0.112,-7.683,0,0.194,0.726,99.974
7K3BhSpAxZBznislvUMVtn,163855,6,0.467,0.492,0.675,0.0,0.142,-5.456,1,0.0389,0.478,203.759
4OMJGnvZfDvsePyCwRGO7X,185918,9,0.0036,0.744,0.789,0.00144,0.0947,-4.876,0,0.059,0.866,116.985
4iZ4pt7kvcaH6Yo8UoZ4s2,201800,5,0.141,0.559,0.551,0.0,0.11,-7.231,1,0.132,0.392,143.008
3h5TiWTqGxjSjFrbruPFH9,263040,6,0.128,0.66,0.727,1.31e-05,0.524,-4.028,0,0.0441,0.418,125.023
1Qrg8KqiBpW07V7PNxwwwL,153947,8,0.0521,0.644,0.735,0.144,0.161,-5.747,1,0.0391,0.418,88.98
5aIVCx5tnk0ntmdiinnYvw,200256,3,0.0856,0.673,0.722,0.0,0.137,-3.495,0,0.0755,0.519,117.187
7DSAEUvxU8FajXtRloy8M0,200600,0,0.0584,0.706,0.691,6.99e-05,0.0232,-4.775,1,0.0633,0.632,118.048
6uTPdRrEDeH8Fyg5L5qmeU,125902,1,0.0504,0.781,0.567,0.0,0.0981,-7.857,1,0.0969,0.0743,121.964
1kuGVB7EU95pJObxwvfwKS,219724,5,0.177,0.511,0.532,0.0,0.291,-5.745,1,0.0578,0.35,138.005
0V3wPSX9ygBnCm8psDIegu,200690,4,0.13,0.637,0.643,1.8e-06,0.142,-6.571,1,0.0519,0.533,97.008
3Pbp7cUCx4d3OAkZSCoNvn,159636,7,0.384,0.527,0.551,2.75e-06,0.403,-11.258,1,0.0345,0.443,148.035
7CyPwkp0oE8Ro9Dd5CUDjW,244685,8,0.0545,0.522,0.641,0.0,0.162,-6.287,1,0.0318,0.202,87.51
1Lo0QY9cvc8sUB2vnIOxDT,265493,8,0.186,0.712,0.603,0.0,0.115,-5.52,1,0.0262,0.67,97.994
2Zo1PcszsT9WQ0ANntJbID,185553,6,0.0893,0.787,0.686,0.0,0.0927,-4.37,0,0.0339,0.836,123.51
3JvrhDOgAt6p7K8mDyZwRd,204280,1,0.431,0.484,0.731,0.0,0.151,-6.694,1,0.0379,0.51,101.654
4E63weMCaNZuGPEFMnuEi8,159401,5,0.173,0.821,0.575,0.000242,0.114,-6.57,0,0.0589,0.611,136.962
7iUScoHKNJC5hqtA40vMlj,222784,0,0.00499,0.68,0.881,0.0253,0.574,-4.503,1,0.0553,0.105,174.062
1odExI7RdWc4BT515LTAwj,212954,2,0.83,0.508,0.43,0.000441,0.093,-9.475,0,0.0335,0.324,130.09
3vkCueOmm7xQDoJ17W1Pm3,137773,9,0.868,0.504,0.308,0.135,0.158,-14.958,1,0.0321,0.121,113.95
1swz9stsbG1p34SJHJqiww,180872,4,0.00483,0.56,0.699,0.0,0.223,-8.501,1,0.0327,0.512,122.942
1udwFobQ1JoOdWPQrp2b6u,229938,5,0.173,0.575,0.56,0.0,0.257,-7.302,1,0.478,0.471,75.956
5w40ZYhbBMAlHYNDaVJIUu,184013,2,0.00136,0.498,0.897,0.0,0.118,-4.907,1,0.045,0.373,169.902
6wf7Yu7cxBSPrRlWeSeK0Q,222370,0,0.959,0.444,0.0911,1.05e-06,0.098,-17.665,1,0.0307,0.142,78.403
